Category	GO_ID	GO_term	Annotated_HOGs	Foreground_HOGs	Expected_HOGs	Fold_enrichment	weight01_P	Contributing HOGs	Contributing consensus HOG names
Other	GO:0051260	protein homooligomerization	81	19	5.87	3.24	3e-6	N13.HOG0002352;N13.HOG0002756;N13.HOG0004983;N13.HOG0005169;N13.HOG0005222;N13.HOG0005512;N13.HOG0005558;N13.HOG0005899;N13.HOG0006063;N13.HOG0006415;N13.HOG0006699;N13.HOG0007453;N13.HOG0007897;N13.HOG0008332;N13.HOG0008434;N13.HOG0008494;N13.HOG0009118;N13.HOG0009420;N13.HOG0009571	EF1a-F2; Klp61F; Cth; Calpb; Sam-S; cin; Cat; TER94; Acat1; Nap1; Gnmt; Nup58; Arc42; ALiX; p115; Pex5; Shmt; Lon; inc
Other	GO:0090407	organophosphate biosynthetic process	250	41	18.1	2.27	4.1e-5	N13.HOG0001742;N13.HOG0001745;N13.HOG0002474;N13.HOG0002709;N13.HOG0002865;N13.HOG0003437;N13.HOG0003614;N13.HOG0004055;N13.HOG0004383;N13.HOG0005080;N13.HOG0005461;N13.HOG0005512;N13.HOG0005629;N13.HOG0005767;N13.HOG0005834;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006180;N13.HOG0006298;N13.HOG0006495;N13.HOG0006518;N13.HOG0006783;N13.HOG0006806;N13.HOG0006946;N13.HOG0007211;N13.HOG0007450;N13.HOG0007469;N13.HOG0007555;N13.HOG0007575;N13.HOG0007592;N13.HOG0007840;N13.HOG0008012;N13.HOG0008109;N13.HOG0008395;N13.HOG0008454;N13.HOG0008484;N13.HOG0008502;N13.HOG0009118	L-lactate dehydrogenase; aldose reductase-like / aldo-keto reductase family 1 member B1-like; Vha100-1; Men; glyceraldehyde-3-phosphate dehydrogenase 2; Argk1; beta-hexosaminidase subunit beta; RnrL; rudimentary; pyridoxine-5'-phosphate oxidase-like / pyridoxine/pyridoxamine 5'-phosphate oxidase-like; Ipk1; cin; xylulose kinase; bifunctional purine biosynthesis protein PURH / bifunctional purine biosynthesis protein ATIC; Parp1; TER94; Acat1; Adsl; Prps; Hex-A; oys; Pgi; Gmppb; purine nucleoside phosphorylase; Had1; aralar1; Gmd; l(2)k01209; BckdhA; bur; putative N-acetylglucosamine-6-phosphate deacetylase / N-acetylglucosamine-6-phosphate deacetylase; Nipsnap; Synj; Pfrx; Idh; LysRS; Pdk; Pisd; Tpi; Ppcs; Shmt
Other	GO:0009100	glycoprotein metabolic process	103	18	7.46	2.41	1.4e-4	N13.HOG0003075;N13.HOG0003332;N13.HOG0003614;N13.HOG0005142;N13.HOG0005899;N13.HOG0006381;N13.HOG0006468;N13.HOG0006495;N13.HOG0007037;N13.HOG0007789;N13.HOG0007833;N13.HOG0008133;N13.HOG0008446;N13.HOG0008679;N13.HOG0008844;N13.HOG0009991;N13.HOG0010849;N13.HOG0011005	alpha-Man-Ia; Hrd3; beta-hexosaminidase subunit beta; GCS2alpha; TER94; E3 ubiquitin-protein ligase RNF185; apyrase / soluble calcium-activated nucleotidase 1; Gmppb; Psn; Ost48; Grasp65; OstDelta; GCS2beta; Rpn1; MARCH6; Alg9; egh; Chsy
Other	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	53	12	3.84	3.12	3e-4	N13.HOG0002495;N13.HOG0004087;N13.HOG0004297;N13.HOG0004793;N13.HOG0005049;N13.HOG0006582;N13.HOG0006797;N13.HOG0006880;N13.HOG0008706;N13.HOG0009810;N13.HOG0010314;N13.HOG0010674	sqd; B52; splicing factor U2af 38 kDa subunit; KH domain-containing, RNA-binding, signal transduction-associated protein 3 / KH domain-containing, RNA-binding, signal transduction-associated protein 2-like; Lsm11; l(3)72Ab; U2af50; Cpsf6; nito; transformer 2; Rsf1; uncharacterized (LOC107071002 / LOC127062651)
Other	GO:0006406	mRNA export from nucleus	45	10	3.26	3.07	0.00111	N13.HOG0002495;N13.HOG0004297;N13.HOG0005785;N13.HOG0006291;N13.HOG0006539;N13.HOG0006797;N13.HOG0007453;N13.HOG0008706;N13.HOG0008968;N13.HOG0009717	sqd; splicing factor U2af 38 kDa subunit; Nup214; mbo; Ref1; U2af50; Nup58; nito; Nup107; protein IWS1 homolog / serine/arginine repetitive matrix protein 5
Other	GO:0007589	body fluid secretion	24	7	1.74	4.02	0.00115	N13.HOG0004383;N13.HOG0004886;N13.HOG0005902;N13.HOG0006174;N13.HOG0008215;N13.HOG0010367;N13.HOG0011999	rudimentary; alphaCOP; Got2; Hex-A; serine/threonine-protein kinase OSR1; uncharacterized (LOC107068332 / LOC127072682); Stat92E
Other	GO:0031503	protein-containing complex localization	111	15	8.04	1.87	0.00124	N13.HOG0002495;N13.HOG0002963;N13.HOG0004297;N13.HOG0005512;N13.HOG0005785;N13.HOG0006291;N13.HOG0006539;N13.HOG0006797;N13.HOG0007453;N13.HOG0007592;N13.HOG0008289;N13.HOG0008530;N13.HOG0008706;N13.HOG0008968;N13.HOG0008982	sqd; Ipo9; splicing factor U2af 38 kDa subunit; cin; Nup214; mbo; Ref1; U2af50; Nup58; Synj; Tnpo; Ran; nito; Nup107; AP-1-2beta
Other	GO:0042866	pyruvate biosynthetic process	20	6	1.45	4.14	0.00222	N13.HOG0001742;N13.HOG0002865;N13.HOG0006174;N13.HOG0006298;N13.HOG0007840;N13.HOG0008484	L-lactate dehydrogenase; glyceraldehyde-3-phosphate dehydrogenase 2; Hex-A; Pgi; Pfrx; Tpi
Other	GO:0071806	protein transmembrane transport	32	5	2.32	2.16	0.00256	N13.HOG0005679;N13.HOG0006854;N13.HOG0008494;N13.HOG0008536;N13.HOG0011108	Akt; Srp54k; Pex5; Sec63; Sec61beta
Other	GO:0006606	protein import into nucleus	64	11	4.63	2.38	0.00281	N13.HOG0002963;N13.HOG0005679;N13.HOG0005785;N13.HOG0006291;N13.HOG0007037;N13.HOG0007453;N13.HOG0008289;N13.HOG0008530;N13.HOG0008968;N13.HOG0010401;N13.HOG0011108	Ipo9; Akt; Nup214; mbo; Psn; Nup58; Tnpo; Ran; Nup107; Sec13; Sec61beta
Other	GO:0071166	ribonucleoprotein complex localization	59	11	4.27	2.58	0.00287	N13.HOG0002495;N13.HOG0004297;N13.HOG0005785;N13.HOG0006291;N13.HOG0006539;N13.HOG0006797;N13.HOG0007453;N13.HOG0008530;N13.HOG0008706;N13.HOG0008968;N13.HOG0009717	sqd; splicing factor U2af 38 kDa subunit; Nup214; mbo; Ref1; U2af50; Nup58; Ran; nito; Nup107; protein IWS1 homolog / serine/arginine repetitive matrix protein 5
Other	GO:0006891	intra-Golgi vesicle-mediated transport	21	6	1.52	3.95	0.00293	N13.HOG0004886;N13.HOG0004934;N13.HOG0006290;N13.HOG0008434;N13.HOG0008852;N13.HOG0008887	alphaCOP; betaCOP; gammaCOP; p115; beta'COP; deltaCOP
