Comparison	Direction	GO ID	GO term	Annotated HOGs	Foreground HOGs	Expected HOGs	Fold enrichment	weight01 P	Contributing HOGs	Contributing consensus HOG names
Pupae to pupae	Concordant up	GO:0000082	G1/S transition of mitotic cell cycle	173	10	1.48	6.76	3e-6	N13.HOG0002303; N13.HOG0002408; N13.HOG0004450; N13.HOG0005049; N13.HOG0005631; N13.HOG0005679; N13.HOG0006118; N13.HOG0006792; N13.HOG0007082; N13.HOG0008362	CDK2AP1; Mcm6; DNApol-alpha180; Lsm11; Mcm7; Akt; ras GTPase-activating-like protein IQGAP1; Mcm3; Mcm2; Cul5
Pupae to pupae	Concordant up	GO:0006270	DNA replication initiation	31	5	0.27	18.5	5.6e-6	N13.HOG0002408; N13.HOG0004450; N13.HOG0005631; N13.HOG0006792; N13.HOG0007082	Mcm6; DNApol-alpha180; Mcm7; Mcm3; Mcm2
Pupae to pupae	Concordant up	GO:0032392	DNA geometric change	54	6	0.46	13	5.7e-6	N13.HOG0002408; N13.HOG0002646; N13.HOG0005631; N13.HOG0005637; N13.HOG0007082; N13.HOG0010281	Mcm6; ATP-dependent RNA helicase DHX36 / ATP-dependent DNA/RNA helicase DHX36; Mcm7; DNA repair protein RAD51 homolog A; Mcm2; Pif1
Pupae to pupae	Concordant up	GO:0000022	mitotic spindle elongation	21	4	0.18	22.2	2.6e-5	N13.HOG0002756; N13.HOG0004078; N13.HOG0004452; N13.HOG0005084	Klp61F; Klp3A; protein regulator of cytokinesis 1; protein claret segregational
Pupae to pupae	Concordant up	GO:0090306	meiotic spindle assembly	28	4	0.24	16.7	8.5e-5	N13.HOG0002379; N13.HOG0005084; N13.HOG0005667; N13.HOG0005825	kinesin-like protein KIF20A; protein claret segregational; mud; Klp67A
Pupae to pupae	Concordant up	GO:0022412	cellular process involved in reproduction in multicellular organism	948	15	8.11	1.85	1.7e-4	N13.HOG0002379; N13.HOG0002408; N13.HOG0002756; N13.HOG0003585; N13.HOG0003588; N13.HOG0004078; N13.HOG0005084; N13.HOG0005637; N13.HOG0005667; N13.HOG0005679; N13.HOG0005825; N13.HOG0005834; N13.HOG0008362; N13.HOG0009035; N13.HOG0010501	kinesin-like protein KIF20A; Mcm6; Klp61F; br; broad-complex core protein / fez family zinc finger protein 1-like; Klp3A; protein claret segregational; DNA repair protein RAD51 homolog A; mud; Akt; Klp67A; Parp1; Cul5; Pen; wg
Pupae to pupae	Concordant up	GO:0007143	female meiotic nuclear division	71	5	0.61	8.2	3.3e-4	N13.HOG0002379; N13.HOG0004078; N13.HOG0005084; N13.HOG0005637; N13.HOG0005667	kinesin-like protein KIF20A; Klp3A; protein claret segregational; DNA repair protein RAD51 homolog A; mud
Pupae to pupae	Concordant up	GO:0007100	mitotic centrosome separation	20	3	0.17	17.6	6.1e-4	N13.HOG0002756; N13.HOG0005084; N13.HOG0005825	Klp61F; protein claret segregational; Klp67A
Pupae to pupae	Concordant up	GO:0000724	double-strand break repair via homologous recombination	86	5	0.74	6.76	8e-4	N13.HOG0005637; N13.HOG0005834; N13.HOG0009102; N13.HOG0009170; N13.HOG0010281	DNA repair protein RAD51 homolog A; Parp1; PPP4R2r; Nup160; Pif1
Pupae to pupae	Concordant up	GO:0042332	gravitaxis	22	3	0.19	15.8	8.2e-4	N13.HOG0003585; N13.HOG0003588; N13.HOG0009035	br; broad-complex core protein / fez family zinc finger protein 1-like; Pen
Pupae to pupae	Concordant up	GO:0010948	negative regulation of cell cycle process	263	6	2.25	2.67	0.00102	N13.HOG0002303; N13.HOG0002756; N13.HOG0003383; N13.HOG0005084; N13.HOG0005637; N13.HOG0010501	CDK2AP1; Klp61F; very-long-chain 3-oxoacyl-CoA reductase; protein claret segregational; DNA repair protein RAD51 homolog A; wg
Pupae to pupae	Concordant up	GO:0040034	regulation of development, heterochronic	25	3	0.21	14.3	0.0012	N13.HOG0003037; N13.HOG0003585; N13.HOG0003588	achaete-scute homolog 1-like / achaete-scute complex protein T5-like; br; broad-complex core protein / fez family zinc finger protein 1-like
Pupae to pupae	Concordant up	GO:0010884	positive regulation of lipid storage	27	3	0.23	13	0.00151	N13.HOG0000342; N13.HOG0003383; N13.HOG0005679	putative fatty acyl-CoA reductase CG5065 / fatty acyl-CoA reductase 1-like; very-long-chain 3-oxoacyl-CoA reductase; Akt
Pupae to pupae	Concordant up	GO:0090307	mitotic spindle assembly	60	4	0.51	7.84	0.00166	N13.HOG0002756; N13.HOG0004078; N13.HOG0004650; N13.HOG0005084	Klp61F; Klp3A; targeting protein for Xklp2-like / titin homolog; protein claret segregational
Pupae to pupae	Concordant up	GO:0048808	male genitalia morphogenesis	28	3	0.24	12.5	0.00168	N13.HOG0003585; N13.HOG0003588; N13.HOG0008080	br; broad-complex core protein / fez family zinc finger protein 1-like; tyrosine-protein kinase-like otk
Pupae to pupae	Concordant up	GO:0042246	tissue regeneration	61	4	0.52	7.69	0.00176	N13.HOG0003037; N13.HOG0004055; N13.HOG0008155; N13.HOG0010501	achaete-scute homolog 1-like / achaete-scute complex protein T5-like; RnrL; myb-like protein I / zinc finger protein 8-like; wg
Pupae to pupae	Concordant up	GO:0006963	positive regulation of antibacterial peptide biosynthetic process	30	3	0.26	11.5	0.00205	N13.HOG0003037; N13.HOG0005834; N13.HOG0011688	achaete-scute homolog 1-like / achaete-scute complex protein T5-like; Parp1; glycine-rich cell wall structural protein-like / neuropeptide-like protein 32
Pupae to pupae	Concordant up	GO:0060236	regulation of mitotic spindle organization	31	3	0.27	11.1	0.00226	N13.HOG0002756; N13.HOG0004650; N13.HOG0005084	Klp61F; targeting protein for Xklp2-like / titin homolog; protein claret segregational
Pupae to pupae	Concordant up	GO:0006633	fatty acid biosynthetic process	70	4	0.6	6.67	0.00292	N13.HOG0002377; N13.HOG0003383; N13.HOG0006707; N13.HOG0007931	4-coumarate--CoA ligase 1-like; very-long-chain 3-oxoacyl-CoA reductase; acyl-CoA synthetase short-chain family member 3, mitochondrial; Pmp70
Pupae to pupae	Concordant up	GO:0021515	cell differentiation in spinal cord	35	3	0.3	10	0.00302	N13.HOG0003037; N13.HOG0008155; N13.HOG0010501	achaete-scute homolog 1-like / achaete-scute complex protein T5-like; myb-like protein I / zinc finger protein 8-like; wg
Pupae to pupae	Concordant up	GO:0071364	cellular response to epidermal growth factor stimulus	36	3	0.31	9.68	0.00348	N13.HOG0005631; N13.HOG0005679; N13.HOG0006118	Mcm7; Akt; ras GTPase-activating-like protein IQGAP1
Pupae to pupae	Concordant up	GO:0009792	embryo development ending in birth or egg hatching	716	13	6.13	2.12	0.00409	N13.HOG0002007; N13.HOG0002303; N13.HOG0003037; N13.HOG0003383; N13.HOG0003519; N13.HOG0005637; N13.HOG0005679; N13.HOG0007479; N13.HOG0008080; N13.HOG0008446; N13.HOG0009035; N13.HOG0009170; N13.HOG0010501	not; CDK2AP1; achaete-scute homolog 1-like / achaete-scute complex protein T5-like; very-long-chain 3-oxoacyl-CoA reductase; protein mab-21; DNA repair protein RAD51 homolog A; Akt; Uba2; tyrosine-protein kinase-like otk; GCS2beta; Pen; Nup160; wg
Pupae to pupae	Concordant up	GO:0030707	follicle cell of egg chamber development	289	6	2.47	2.43	0.00446	N13.HOG0002408; N13.HOG0003585; N13.HOG0003588; N13.HOG0005679; N13.HOG0005834; N13.HOG0010501	Mcm6; br; broad-complex core protein / fez family zinc finger protein 1-like; Akt; Parp1; wg
Pupae to pupae	Concordant up	GO:0072089	stem cell proliferation	161	6	1.38	4.35	0.00477	N13.HOG0003037; N13.HOG0005667; N13.HOG0006792; N13.HOG0008155; N13.HOG0010501; N13.HOG0011688	achaete-scute homolog 1-like / achaete-scute complex protein T5-like; mud; Mcm3; myb-like protein I / zinc finger protein 8-like; wg; glycine-rich cell wall structural protein-like / neuropeptide-like protein 32
Pupae to pupae	Concordant up	GO:0006260	DNA replication	228	13	1.95	6.67	0.00573	N13.HOG0002303; N13.HOG0002408; N13.HOG0003383; N13.HOG0004055; N13.HOG0004450; N13.HOG0005631; N13.HOG0005637; N13.HOG0005834; N13.HOG0006792; N13.HOG0007082; N13.HOG0008539; N13.HOG0010281; N13.HOG0010501	CDK2AP1; Mcm6; very-long-chain 3-oxoacyl-CoA reductase; RnrL; DNApol-alpha180; Mcm7; DNA repair protein RAD51 homolog A; Parp1; Mcm3; Mcm2; Set; Pif1; wg
Pupae to pupae	Concordant up	GO:0062014	negative regulation of small molecule metabolic process	44	3	0.38	7.89	0.00616	N13.HOG0005679; N13.HOG0005834; N13.HOG0007840	Akt; Parp1; Pfrx
Pupae to pupae	Concordant up	GO:1901570	fatty acid derivative biosynthetic process	37	3	0.32	9.38	0.00686	N13.HOG0000342; N13.HOG0002377; N13.HOG0006707	putative fatty acyl-CoA reductase CG5065 / fatty acyl-CoA reductase 1-like; 4-coumarate--CoA ligase 1-like; acyl-CoA synthetase short-chain family member 3, mitochondrial
Pupae to pupae	Concordant up	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	47	3	0.4	7.5	0.0074	N13.HOG0002756; N13.HOG0004078; N13.HOG0005825	Klp61F; Klp3A; Klp67A
Pupae to pupae	Concordant up	GO:0006261	DNA-templated DNA replication	147	10	1.26	7.94	0.00797	N13.HOG0002303; N13.HOG0002408; N13.HOG0003383; N13.HOG0004450; N13.HOG0005631; N13.HOG0005637; N13.HOG0005834; N13.HOG0006792; N13.HOG0007082; N13.HOG0010501	CDK2AP1; Mcm6; very-long-chain 3-oxoacyl-CoA reductase; DNApol-alpha180; Mcm7; DNA repair protein RAD51 homolog A; Parp1; Mcm3; Mcm2; wg
Pupae to pupae	Concordant up	GO:0010833	telomere maintenance via telomere lengthening	47	3	0.4	7.5	0.00833	N13.HOG0005637; N13.HOG0005834; N13.HOG0010281	DNA repair protein RAD51 homolog A; Parp1; Pif1
Pupae to pupae	Concordant up	GO:0000018	regulation of DNA recombination	54	3	0.46	6.52	0.0109	N13.HOG0005637; N13.HOG0009035; N13.HOG0009102	DNA repair protein RAD51 homolog A; Pen; PPP4R2r
Pupae to pupae	Concordant up	GO:0007405	neuroblast proliferation	135	4	1.16	3.45	0.0109	N13.HOG0003037; N13.HOG0005667; N13.HOG0006792; N13.HOG0008155	achaete-scute homolog 1-like / achaete-scute complex protein T5-like; mud; Mcm3; myb-like protein I / zinc finger protein 8-like
Pupae to pupae	Concordant up	GO:0051707	response to other organism	702	11	6.01	1.83	0.0111	N13.HOG0001756; N13.HOG0003037; N13.HOG0003585; N13.HOG0003588; N13.HOG0004412; N13.HOG0005679; N13.HOG0005834; N13.HOG0007479; N13.HOG0008032; N13.HOG0009102; N13.HOG0011688	limulus clotting factor C-like / modular serine protease-like; achaete-scute homolog 1-like / achaete-scute complex protein T5-like; br; broad-complex core protein / fez family zinc finger protein 1-like; lysozyme-like / invertebrate-type lysozyme 3-like; Akt; Parp1; Uba2; putative glucose-6-phosphate 1-epimerase; PPP4R2r; glycine-rich cell wall structural protein-like / neuropeptide-like protein 32
Pupae to pupae	Concordant up	GO:0051301	cell division	554	12	4.74	2.53	0.0112	N13.HOG0002303; N13.HOG0002379; N13.HOG0002408; N13.HOG0002756; N13.HOG0003037; N13.HOG0004078; N13.HOG0004452; N13.HOG0004650; N13.HOG0005084; N13.HOG0005667; N13.HOG0005825; N13.HOG0008155	CDK2AP1; kinesin-like protein KIF20A; Mcm6; Klp61F; achaete-scute homolog 1-like / achaete-scute complex protein T5-like; Klp3A; protein regulator of cytokinesis 1; targeting protein for Xklp2-like / titin homolog; protein claret segregational; mud; Klp67A; myb-like protein I / zinc finger protein 8-like
Pupae to pupae	Concordant up	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	58	3	0.5	6	0.0132	N13.HOG0002756; N13.HOG0004078; N13.HOG0005825	Klp61F; Klp3A; Klp67A
Pupae to pupae	Concordant up	GO:0030261	chromosome condensation	64	3	0.55	5.45	0.0172	N13.HOG0004078; N13.HOG0005637; N13.HOG0007082	Klp3A; DNA repair protein RAD51 homolog A; Mcm2
Pupae to pupae	Concordant up	GO:0061351	neural precursor cell proliferation	189	6	1.62	3.7	0.0175	N13.HOG0003037; N13.HOG0004055; N13.HOG0005667; N13.HOG0006792; N13.HOG0008155; N13.HOG0010501	achaete-scute homolog 1-like / achaete-scute complex protein T5-like; RnrL; mud; Mcm3; myb-like protein I / zinc finger protein 8-like; wg
Pupae to pupae	Concordant up	GO:0007088	regulation of mitotic nuclear division	148	5	1.27	3.94	0.019	N13.HOG0002379; N13.HOG0002756; N13.HOG0004078; N13.HOG0005084; N13.HOG0008155	kinesin-like protein KIF20A; Klp61F; Klp3A; protein claret segregational; myb-like protein I / zinc finger protein 8-like
Pupae to pupae	Concordant up	GO:0060581	cell fate commitment involved in pattern specification	48	4	0.41	9.76	0.0194	N13.HOG0003037; N13.HOG0008362; N13.HOG0010501; N13.HOG0010538	achaete-scute homolog 1-like / achaete-scute complex protein T5-like; Cul5; wg; probable serine/threonine-protein kinase DDB_G0293276
Pupae to pupae	Concordant down	GO:0006099	tricarboxylic acid cycle	40	5	0.4	12.5	4.3e-5	N13.HOG0002755; N13.HOG0003542; N13.HOG0006563; N13.HOG0007705; N13.HOG0008110	SdhB; pyruvate dehydrogenase E1 component subunit beta, mitochondrial; Idh3b; Idh3a; SdhD
Pupae to pupae	Concordant down	GO:0006101	citrate metabolic process	41	5	0.41	12.2	4.8e-5	N13.HOG0002755; N13.HOG0003542; N13.HOG0006563; N13.HOG0007705; N13.HOG0008110	SdhB; pyruvate dehydrogenase E1 component subunit beta, mitochondrial; Idh3b; Idh3a; SdhD
Pupae to pupae	Concordant down	GO:0016999	antibiotic metabolic process	70	5	0.7	7.14	6.2e-4	N13.HOG0002755; N13.HOG0003542; N13.HOG0006563; N13.HOG0007705; N13.HOG0008110	SdhB; pyruvate dehydrogenase E1 component subunit beta, mitochondrial; Idh3b; Idh3a; SdhD
Pupae to pupae	Concordant down	GO:0030239	myofibril assembly	78	6	0.78	7.69	7.4e-4	N13.HOG0001553; N13.HOG0003209; N13.HOG0003638; N13.HOG0004749; N13.HOG0004846; N13.HOG0007025	tropomyosin-2; Zasp66; paramyosin, long form; DNA ligase 1-like / apoptotic chromatin condensation inducer in the nucleus-like; wupA; Mlc2
Pupae to pupae	Concordant down	GO:0003012	muscle system process	208	6	2.07	2.9	0.00188	N13.HOG0001553; N13.HOG0004846; N13.HOG0006345; N13.HOG0006886; N13.HOG0007025; N13.HOG0007700	tropomyosin-2; wupA; Mlc1; neurocalcin-delta B-like / Kv channel-interacting protein 2-like; Mlc2; uncharacterized (LOC107073852 / LOC127061535)
Pupae to pupae	Concordant down	GO:0006936	muscle contraction	153	4	1.52	2.63	0.00188	N13.HOG0001553; N13.HOG0004846; N13.HOG0006345; N13.HOG0006886	tropomyosin-2; wupA; Mlc1; neurocalcin-delta B-like / Kv channel-interacting protein 2-like
Pupae to pupae	Concordant down	GO:0015837	amine transport	67	3	0.67	4.48	0.00333	N13.HOG0002210; N13.HOG0005659; N13.HOG0008110	bw; Rh50; SdhD
