Node	HOG	change	pvalue	direction	source
24	N0.HOG0001240	1	0.00421777	expansion	main_model
24	N0.HOG0001452	1	0.00421777	expansion	main_model
24	N0.HOG0001729	1	0.00421777	expansion	main_model
24	N0.HOG0002034	1	0.00421777	expansion	main_model
24	N0.HOG0002710	1	0.00421777	expansion	main_model
24	N0.HOG0008885	1	0.00421777	expansion	main_model
24	N0.HOG0000354	1	0.00843556	expansion	main_model
24	N0.HOG0000834	1	0.00843556	expansion	main_model
24	N0.HOG0000008	-1	0.0125831	contraction	main_model
24	N0.HOG0000015	-1	0.0125831	contraction	main_model
24	N0.HOG0000258	-1	0.0125831	contraction	main_model
24	N0.HOG0000272	-1	0.0125831	contraction	main_model
24	N0.HOG0000304	-1	0.0125831	contraction	main_model
24	N0.HOG0000534	-1	0.0125831	contraction	main_model
24	N0.HOG0000742	-1	0.0125831	contraction	main_model
24	N0.HOG0000811	-1	0.0125831	contraction	main_model
24	N0.HOG0001400	-1	0.0125831	contraction	main_model
24	N0.HOG0001608	-1	0.0125831	contraction	main_model
24	N0.HOG0002065	-1	0.0125831	contraction	main_model
24	N0.HOG0004813	-1	0.0125831	contraction	main_model
24	N0.HOG0007927	-1	0.0125831	contraction	main_model
24	N0.HOG0008231	-1	0.0125831	contraction	main_model
24	N0.HOG0008384	-1	0.0125831	contraction	main_model
24	N0.HOG0008664	-1	0.0125831	contraction	main_model
24	N0.HOG0008788	-1	0.0125831	contraction	main_model
24	N0.HOG0008835	-1	0.0125831	contraction	main_model
24	N0.HOG0008893	-1	0.0125831	contraction	main_model
24	N0.HOG0009059	-1	0.0125831	contraction	main_model
24	N0.HOG0009237	-1	0.0125831	contraction	main_model
24	N0.HOG0009240	-1	0.0125831	contraction	main_model
24	N0.HOG0009244	-1	0.0125831	contraction	main_model
24	N0.HOG0009567	-1	0.0125831	contraction	main_model
24	N0.HOG0009692	-1	0.0125831	contraction	main_model
24	N0.HOG0009857	-1	0.0125831	contraction	main_model
24	N0.HOG0009878	-1	0.0125831	contraction	main_model
24	N0.HOG0011499	-1	0.0125831	contraction	main_model
