focus_node	focus_label	HOG	OG	change	pvalue	msa_file	tree_file	msa_found	tree_found
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000942	OG0000739	1	0.0153106	""	OG0000739_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000998	OG0000781	1	0.0153106	""	OG0000781_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001107	OG0000873	1	0.0153106	""	OG0000873_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001115	OG0000879	1	0.0153106	""	OG0000879_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001150	OG0000910	1	0.0153106	""	OG0000910_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001159	OG0000918	1	0.0153106	""	OG0000918_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001160	OG0000919	1	0.0153106	""	OG0000919_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001161	OG0000920	1	0.0153106	""	OG0000920_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001200	OG0000958	1	0.0153106	""	OG0000958_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001230	OG0000986	1	0.0153106	""	OG0000986_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001322	OG0001068	1	0.0153106	""	OG0001068_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001423	OG0001157	1	0.0153106	""	OG0001157_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001481	OG0001206	1	0.0153106	""	OG0001206_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001566	OG0001287	1	0.0153106	""	OG0001287_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001589	OG0001309	1	0.0153106	""	OG0001309_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0001933	OG0001625	1	0.0153106	""	OG0001625_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0002239	OG0001922	1	0.0153106	""	OG0001922_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0006059	OG0005664	1	0.0153106	""	OG0005664_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000125	OG0000076	1	0.0306238	""	OG0000076_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000235	OG0000153	1	0.0306238	""	OG0000153_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000274	OG0000183	1	0.0306238	""	OG0000183_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000350	OG0000242	1	0.0306238	""	OG0000242_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000382	OG0000265	1	0.0306238	""	OG0000265_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000947	OG0000744	1	0.0306238	""	OG0000744_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000236	OG0000154	1	0.0458698	""	OG0000154_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000373	OG0000258	1	0.0458698	""	OG0000258_tree.txt	FALSE	TRUE
