FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000052	0.792904	0.280053	0.078282	0.137549	0.55753	0.55753	0.586502	0.519688	0.519688	0.000144794	0.525804	0.542979	0.622206	0.00741484	0.594339	0.781489	0.049925	N/A	0.0606408	0.648231	0.626406	0.583093	0.552903	0.53995	0.641866	0.61019	0.101095	0.538497	0.618869	0.518598	0.0325526	0.538483	0.553397
N0.HOG0000053	0.151523	0.589155	1.15761e-07	7.17218e-12	0.512386	0.512386	0.5	0.5	0.5	0.510571	0.0158561	0.517901	0.0363393	0.517942	0.0268305	1.63514e-06	0.614679	N/A	0.530008	0.536738	0.0153106	1.27567e-05	0.552903	1.75106e-08	0.53477	0.038275	0.5	0.50808	0.0142073	0.507567	0.512959	0.506744	0.514228
N0.HOG0000054	0.727095	0.624611	0.00559485	0.0310055	0.524313	0.0364718	0.554922	0.00015119	0.514877	0.0133512	0.525804	0.542979	0.524327	0.517942	0.517942	3.68864e-05	0.134462	N/A	0.582267	0.598701	0.582696	0.55263	0.53282	0.036915	0.593968	0.571192	0.54189	0.523658	0.00455928	0.518598	0.00027175	0.506744	6.04723e-09
N0.HOG0000055	1.14576e-05	0.000787566	0.0934458	0.605734	0.567805	0.037295	0.600969	0.529094	0.529094	0.535561	0.535561	0.558597	0.622206	0.594339	0.594339	0.317055	0.317055	N/A	0.625809	0.648231	0.626406	0.046643	0.562445	0.547352	0.0874565	0.627563	0.578591	0.545651	0.0842802	0.525745	0.570646	0.538483	0.0357505
N0.HOG0000057	0.814255	0.704808	0.649008	0.160877	0.567805	0.102574	0.600969	0.529094	0.0437896	0.520807	0.520807	0.534847	0.160134	0.580662	0.580662	0.102115	0.102115	N/A	0.0755058	0.669227	0.645485	0.597103	0.562445	0.547352	0.662349	0.627563	0.578591	0.0688535	0.181006	0.514963	0.559989	0.53239	3.51967e-08
N0.HOG0000058	0.764823	0.352037	0.000106942	0.0717281	0.102574	0.567805	0.0774721	0.0576233	0.538221	0.053582	0.000956154	0.558597	0.00637474	0.642368	0.0890445	0.049925	1.23587e-05	N/A	0.605018	0.000638988	0.66295	0.610364	0.571671	0.0824404	0.68086	0.0895563	0.600533	0.552635	0.654053	0.525745	0.5809	2.25926e-05	0.553397
N0.HOG0000059	0.415679	0.0128068	0.108345	0.0717281	0.00164347	0.577707	0.586502	0.524427	0.524427	0.520807	0.520807	0.534847	0.622206	0.0540338	0.594339	0.444645	7.20119e-05	N/A	0.605018	0.0743267	0.626406	0.00557313	0.571671	0.554571	0.641866	0.61019	0.566888	0.538497	0.181006	0.514963	0.0325526	0.538483	0.553397
N0.HOG0000061	0.159618	0.0329429	0.197725	0.0515102	6.61939e-10	9.32839e-08	0.5	0.5	0.5	0.505328	0.00798461	3.78655e-07	0.5	0.5	0.5	0.178082	0.377743	N/A	0.582267	0.598701	0.00527046	0.583093	0.552903	0.53995	0.00217099	0.038275	0.5	0.50808	0.528033	0.503805	0.0193959	0.5	0.540899
N0.HOG0000062	0.467719	0.704808	0.228499	0.605734	0.567805	0.102574	0.153509	0.538221	0.538221	0.535561	0.053582	0.558597	0.0732063	0.594339	0.143279	0.808386	0.276188	N/A	0.625809	0.0923831	0.645485	0.597103	0.562445	0.547352	0.662349	0.627563	0.00499623	0.545651	0.0842802	0.525745	0.570646	0.538483	0.565373
N0.HOG0000063	0.792904	0.000787566	0.649008	0.605734	0.567805	0.567805	0.600969	0.529094	0.529094	0.530722	0.530722	0.542979	0.160134	0.580662	0.00170538	0.808386	0.276188	N/A	0.625809	0.648231	0.626406	0.046643	0.562445	0.547352	0.641866	0.0644889	0.578591	0.538497	0.618869	0.0095301	0.559989	0.53239	0.565373
N0.HOG0000066	0.151523	0.00580439	0.559353	0.539708	0.524313	0.524313	0.537689	0.509993	0.509993	0.510571	0.510571	0.517901	0.0703554	0.534923	0.534923	0.614679	0.16829	N/A	0.530008	0.018693	0.557656	0.53607	0.522253	0.51659	0.565956	0.549305	0.528541	0.515964	0.553731	0.507567	0.525416	0.513352	0.514228
N0.HOG0000068	0.727095	0.188766	0.585014	0.557772	0.000247474	0.535801	0.554922	0.514877	0.514877	0.0106824	0.520807	0.534847	0.0368904	0.551002	0.551002	0.69156	0.69156	N/A	0.0304467	0.598701	0.582696	0.55263	0.53282	0.524574	0.593968	0.571192	0.54189	0.523658	0.0425717	0.514963	0.537394	0.519827	0.527851
N0.HOG0000069	0.509503	0.0572992	0.649008	0.160877	0.037295	0.102574	0.00671544	0.542683	0.00140827	0.549628	0.000637508	0.580499	0.666051	0.631286	0.000252579	0.276188	0.00440751	N/A	0.0755058	0.110078	0.66295	0.168209	0.562445	0.547352	0.0330191	0.672519	0.610816	0.566108	0.124214	0.536166	0.600266	0.556044	0.565373
N0.HOG0000087	0.151523	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.524327	0.0268305	0.517942	0.16829	0.614679	N/A	0.530008	0.536738	0.0450356	0.5	0.5	0.5	0.53477	0.038275	0.5	0.50808	0.0418476	0.5	0.512959	0.506744	0.514228
N0.HOG0000089	0.67535	0.589155	0.559353	0.00024756	3.79941e-06	8.51512e-05	0.0290127	0.505035	0.505035	0.5	0.5	0.5	0.524327	0.5	0.5	0.288995	0.69156	N/A	0.557342	0.569477	0.557656	0.53607	0.522253	0.51659	0.0989778	0.525629	0.514588	0.50808	0.0418476	0.5	0.512959	0.0101049	0.527851
