HOG	n_species_present	n_max	n_min	total_genes	differential	exclusion_reason	excluded
N0.HOG0003365	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003397	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003420	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003442	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003444	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003447	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003448	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003479	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003492	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003497	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003571	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003573	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003797	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0003870	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0004000	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0004163	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0004575	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0004706	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0004722	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0004723	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0004738	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0005010	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0006114	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0006714	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0006715	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007205	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007300	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007302	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007303	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007308	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007309	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007570	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007571	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007572	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007667	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007916	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007925	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0007926	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008072	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008073	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008075	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008114	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008115	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008256	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008260	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008262	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008263	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008299	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008307	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008385	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008433	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008490	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008572	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008574	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008591	0	0	0	0	0	empty_after_subset	TRUE
