gene_dmel,symbol_dmel,description_dmel,genetype_dmel,highest_tissue_Female,highest_tissue_Larva,highest_tissue_Male,top_log2_enrich_Female,top_log2_enrich_Larva,top_log2_enrich_Male,tau_Female,tau_Larva,tau_Male
FBgn0037141,PolH,DNA polymerase eta,PROTEIN_CODING,Ovary,Midgut,Brain,0.669792350692702,0.15200291533476007,1.3466494435319327,0.8565647482014389,0.36388888888888893,0.5020804438280166
FBgn0037142,CG14562,NA,PROTEIN_CODING,Ganglion,Fat Body,Ganglion,1.71241215096188,0.34920538044485555,2.2039351975426014,0.687857596948506,0.22149837133550482,0.6794254182359639
FBgn0037143,CR7448,NA,PSEUDO,Brain,Fat Body,Brain,16.457653410847605,-15.287748446474637,0.4150344936860912,0.7083333333333334,NA,0.6696428571428571
FBgn0037144,CG7458,NA,PROTEIN_CODING,Midgut,Tubule,Midgut,1.0740004528504319,0.8945064438294319,2.868821581968865,0.7088709677419355,0.3482758620689655,0.7362872421695952
FBgn0037146,P5CS,Delta[1]-pyrroline-5-carboxylate synthase,PROTEIN_CODING,Midgut,Fat Body,Midgut,3.036147284851449,2.260532403729817,2.486156265341826,0.7382540916353586,0.7922175358909886,0.8741777336477597
FBgn0037147,G6pdl,Glucose-6-phosphate dehydrogenase like,PROTEIN_CODING,Brain,Fat Body,Tubule,-0.7369463587452719,-0.24511166294641865,-4.077442089486848,0.7916666666666666,0.9074074074074074,0.707983193277311
FBgn0037149,CG14561,NA,PROTEIN_CODING,Ovary,Salivary Gland,Tubule,0.5105177327004932,-0.43133902916017397,0.19364097030121424,0.8409790640394088,0.3655303030303031,0.5355417529330573
FBgn0037150,CG7133,NA,PROTEIN_CODING,Salivary Gland,Salivary Gland,Salivary Gland,0.3697413740911217,1.0121161986798846,1.3091686837756749,0.1960600375234522,0.46012544802867383,0.2425670775924583
FBgn0037151,CG7130,NA,PROTEIN_CODING,Midgut,Fat Body,Fat Body,0.7550275855439105,1.9535197567726568,0.5601304893110653,0.7424183514774495,0.8067019099590723,0.5767195767195767
FBgn0037153,olf413,olf413,PROTEIN_CODING,Brain,Salivary Gland,Brain,3.99999785313419,-1.4013608708143097,2.5897628854628016,0.7862103174603174,0.589622641509434,0.7738490745135264
FBgn0037156,CG11523,NA,PROTEIN_CODING,Ovary,Salivary Gland,Salivary Gland,0.4732381092662496,1.2064507027821563,0.9574541854171966,0.6647446457990115,0.5020833333333334,0.44051810865191143
FBgn0037162,CG11449,NA,PROTEIN_CODING,Eye,Fat Body,Brain,1.8744632888658768,0,0.703605406281544,0.7727272727272727,NA,0.7593984962406015
FBgn0037163,laza,lazaro,PROTEIN_CODING,Eye,Midgut,Eye,4.148467376031375,1.5329919829601688,2.90215614955113,0.9348547581493165,0.6457528957528957,0.8949046672636338
FBgn0037164,CG11438,NA,PROTEIN_CODING,Eye,Hindgut,Eye,4.773536452453635,1.5871867202165122,1.2510322247750076,0.902544466403162,0.9645608628659477,0.8292383292383292
FBgn0037165,CG11437,NA,PROTEIN_CODING,Eye,Hindgut,Ganglion,1.4116291989596566,-0.5501954488514925,0.054107371514414956,0.7943262411347517,1,0.6371603856266432
FBgn0037166,CG11426,NA,PROTEIN_CODING,Tubule,Tubule,Tubule,5.438016980778316,3.4930397248834315,3.6262823494911096,0.9342785555202036,0.9442724458204335,0.8938433580071805
