GO	term_name	background_n	foreground_n	expected_n	weight01	weight01_p	fold_enrichment	comparison	set	foreground_total	background_total	foreground_HOGs
GO:0070661	leukocyte proliferation	64	0	0.21	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070663	regulation of leukocyte proliferation	49	0	0.16	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070665	positive regulation of leukocyte prolife...	23	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070671	response to interleukin-12	22	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070828	heterochromatin organization	37	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070830	bicellular tight junction assembly	28	0	0.09	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070848	response to growth factor	431	0	1.39	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070849	response to epidermal growth factor	39	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070873	regulation of glycogen metabolic process	26	0	0.08	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070918	regulatory ncRNA processing	96	0	0.31	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070920	regulation of regulatory ncRNA processin...	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070936	protein K48-linked ubiquitination	32	0	0.1	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070972	protein localization to endoplasmic reti...	92	0	0.3	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070979	protein K11-linked ubiquitination	22	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070983	dendrite guidance	21	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070986	left/right axis specification	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0070988	demethylation	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071025	RNA surveillance	37	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071027	nuclear RNA surveillance	34	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071168	protein localization to chromatin	23	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071173	spindle assembly checkpoint signaling	32	0	0.1	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071174	mitotic spindle checkpoint signaling	32	0	0.1	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071216	cellular response to biotic stimulus	74	0	0.24	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071218	cellular response to misfolded protein	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071219	cellular response to molecule of bacteri...	63	0	0.2	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071222	cellular response to lipopolysaccharide	58	0	0.19	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071229	cellular response to acid chemical	112	0	0.36	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071230	cellular response to amino acid stimulus	43	0	0.14	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071236	cellular response to antibiotic	98	0	0.32	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071242	cellular response to ammonium ion	40	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071248	cellular response to metal ion	90	0	0.29	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071260	cellular response to mechanical stimulus	40	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071277	cellular response to calcium ion	25	0	0.08	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071300	cellular response to retinoic acid	33	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071320	cellular response to cAMP	34	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071322	cellular response to carbohydrate stimul...	101	0	0.33	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071326	cellular response to monosaccharide stim...	88	0	0.28	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071331	cellular response to hexose stimulus	86	0	0.28	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071333	cellular response to glucose stimulus	83	0	0.27	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071345	cellular response to cytokine stimulus	345	0	1.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071346	cellular response to type II interferon	40	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071347	cellular response to interleukin-1	43	0	0.14	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071349	cellular response to interleukin-12	21	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071356	cellular response to tumor necrosis fact...	85	0	0.27	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071359	cellular response to dsRNA	34	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071361	cellular response to ethanol	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071363	cellular response to growth factor stimu...	421	0	1.36	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071364	cellular response to epidermal growth fa...	36	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071375	cellular response to peptide hormone sti...	242	0	0.78	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071383	cellular response to steroid hormone sti...	155	0	0.5	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071384	cellular response to corticosteroid stim...	40	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071385	cellular response to glucocorticoid stim...	37	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071390	cellular response to ecdysone	23	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071396	cellular response to lipid	294	0	0.95	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071398	cellular response to fatty acid	28	0	0.09	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071453	cellular response to oxygen levels	123	0	0.4	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071456	cellular response to hypoxia	106	0	0.34	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071459	protein localization to chromosome, cent...	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071479	cellular response to ionizing radiation	53	0	0.17	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071480	cellular response to gamma radiation	25	0	0.08	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071496	cellular response to external stimulus	213	0	0.69	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071514	genomic imprinting	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071539	protein localization to centrosome	23	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071542	dopaminergic neuron differentiation	28	0	0.09	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071548	response to dexamethasone	36	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071549	cellular response to dexamethasone stimu...	23	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071559	response to transforming growth factor b...	121	0	0.39	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071560	cellular response to transforming growth...	118	0	0.38	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071616	acyl-CoA biosynthetic process	39	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071674	mononuclear cell migration	40	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071675	regulation of mononuclear cell migration	25	0	0.08	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071684	organism emergence from protective struc...	27	0	0.09	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071695	anatomical structure maturation	314	0	1.01	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071696	ectodermal placode development	22	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071697	ectodermal placode morphogenesis	21	0	0.07	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071706	tumor necrosis factor superfamily cytoki...	34	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071709	membrane assembly	30	0	0.1	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071711	basement membrane organization	33	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071763	nuclear membrane organization	35	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071772	response to BMP	125	0	0.4	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071773	cellular response to BMP stimulus	124	0	0.4	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071774	response to fibroblast growth factor	101	0	0.33	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071805	potassium ion transmembrane transport	84	0	0.27	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071806	protein transmembrane transport	52	0	0.17	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071826	protein-RNA complex organization	207	0	0.67	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071867	response to monoamine	55	0	0.18	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071868	cellular response to monoamine stimulus	53	0	0.17	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071869	response to catecholamine	54	0	0.17	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071870	cellular response to catecholamine stimu...	53	0	0.17	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071897	DNA biosynthetic process	140	0	0.45	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071900	regulation of protein serine/threonine k...	230	0	0.74	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071901	negative regulation of protein serine/th...	76	0	0.25	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071902	positive regulation of protein serine/th...	148	0	0.48	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:0071985	multivesicular body sorting pathway	32	0	0.1	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
