N0.HOG0000224	8.26544e-43	2.8789e-31	4.08324e-25	1.66721e-20	2.47688e-17	3.93511e-16	
N0.HOG0000225	2.93852e-22	1.05674e-19	1.00476e-17	3.06615e-15	2.33982e-13	5.92528e-13	
N0.HOG0000226	9.10547e-18	4.53658e-16	1.53229e-14	8.81802e-13	3.09071e-11	7.84828e-12	
N0.HOG0000227	1.05752e-05	1.0674e-05	1.13759e-05	7.89238e-06	4.64015e-07	3.23697e-10	
N0.HOG0000228	4.71498e-224	2.54667e-146	5.07202e-109	1.33012e-82	1.12898e-60	9.61777e-40	
N0.HOG0000229	4.80031e-19	4.42161e-14	1.74542e-11	2.45624e-09	3.83579e-08	1.25859e-09	
N0.HOG0000230	1.95208e-07	1.9622e-07	2.05068e-07	1.72307e-07	2.06257e-08	5.97484e-11	
N0.HOG0000231	0.00147369	0.00150284	0.00184674	0.00284409	0.00218856	5.81642e-05	
N0.HOG0000232	0.00956325	0.00944302	0.00801938	0.00349751	0.000212105	5.56737e-08	
N0.HOG0000233	5.93022e-25	6.37786e-21	2.276e-18	5.71528e-16	1.80639e-13	2.55958e-11	
