FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000188	2	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000189	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
N0.HOG0000190	3	4	4	2	5	5	4	4	4	4	4	3	4	4	3	3	3	3	3	4	4	4	4	5	4	4	4	4	4	4	4	4	3
N0.HOG0000191	3	5	3	3	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5
N0.HOG0000198	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000199	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000201	2	6	3	8	5	3	2	2	2	2	1	2	2	2	2	2	3	2	2	2	4	4	5	5	2	2	2	2	2	2	2	2	2
N0.HOG0000202	4	2	4	3	3	2	3	3	3	3	3	3	3	2	1	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3
N0.HOG0000203	1	5	3	3	4	3	3	4	3	3	5	4	3	3	3	3	1	2	2	3	3	3	3	3	3	3	3	3	4	4	3	3	2
N0.HOG0000204	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000206	2	3	3	5	3	4	3	3	3	2	2	2	3	3	3	2	2	2	2	3	3	3	4	4	3	3	3	3	2	2	3	3	2
N0.HOG0000207	1	3	3	3	2	2	5	1	3	3	2	3	4	6	4	3	2	2	2	3	3	3	3	2	3	3	3	3	3	3	4	4	2
N0.HOG0000208	3	3	3	3	3	3	3	3	3	3	3	3	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3
N0.HOG0000209	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000210	3	4	4	4	4	4	3	3	3	4	4	4	4	4	3	2	3	3	3	4	4	4	4	4	4	3	3	4	4	4	4	4	3
N0.HOG0000211	9	7	3	2	6	5	3	3	3	2	2	2	3	4	3	4	5	4	4	4	4	4	4	5	3	3	3	3	2	2	3	3	4
N0.HOG0000212	3	4	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000213	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000215	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000217	2	1	3	2	3	3	2	2	2	2	2	2	1	2	2	4	3	2	2	2	2	3	3	3	2	2	2	2	2	2	2	2	3
N0.HOG0000219	2	3	2	2	2	2	3	2	2	2	2	2	3	3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2
N0.HOG0000220	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000221	3	3	3	4	2	4	4	4	4	4	4	4	4	4	3	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	4	4	2
N0.HOG0000222	1	5	3	3	4	3	3	3	3	3	3	3	4	2	2	1	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2
