Orthogroup	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean	Total
OG0000039	1	3	9	12	0	0	0	0	0	0	6	29	17	61	2	5	22	5	0	50	26	1	8	1	9	3	2	8	15	2	7	4	0	15	3	46	5	12	3	3	4	4	0	10	7	2	2	5	36	9	9	6	2	0	3	2	3	4	36	1	5	6	6	13	0	2	0	0	4	0	0	6	582
OG0000040	8	5	8	10	6	7	8	7	6	9	8	6	8	7	7	6	6	6	7	7	7	7	6	12	3	9	7	6	8	8	8	7	9	8	7	10	8	8	8	8	8	8	7	9	8	8	9	7	8	14	9	9	10	9	9	8	7	8	6	8	8	7	5	23	7	10	10	9	9	9	10	7	579
OG0000041	16	5	5	4	4	4	4	4	4	19	42	3	3	3	3	3	3	3	3	3	3	3	3	18	9	37	9	3	20	6	8	6	23	4	4	9	4	4	7	7	4	4	19	5	5	4	14	18	4	14	29	5	6	5	4	7	5	6	5	4	25	4	2	10	8	3	5	5	5	4	4	5	572
OG0000042	53	1	1	2	0	2	1	2	3	14	76	9	7	14	6	0	3	2	1	14	11	2	2	0	1	24	1	2	3	0	1	2	0	11	1	14	7	5	45	5	2	0	2	1	3	3	4	101	3	7	0	1	12	2	3	2	0	8	2	1	35	2	1	0	1	6	10	4	1	0	0	4	569
OG0000043	3	12	26	11	0	0	0	0	0	0	27	11	12	49	4	4	8	3	0	25	8	0	3	5	1	8	6	6	1	3	4	2	0	10	0	17	1	22	2	16	21	24	10	4	9	4	0	2	8	12	1	8	8	5	10	9	5	3	20	15	21	2	10	32	6	1	1	1	0	0	0	1	563
OG0000044	7	4	49	0	0	0	0	0	0	3	12	1	2	0	1	0	1	0	0	1	2	0	1	0	0	52	4	0	13	0	0	2	1	2	0	0	1	4	37	11	7	7	64	5	0	1	0	0	0	78	29	0	26	1	24	11	0	0	1	1	70	3	12	1	1	0	0	0	0	0	0	0	553
OG0000045	4	0	3	6	0	0	0	0	0	0	46	0	1	0	1	0	0	0	9	0	1	0	0	1	1	20	14	63	2	0	0	0	0	2	0	3	0	88	26	4	3	0	50	0	10	1	0	0	1	54	0	2	14	0	32	4	2	0	5	0	73	1	0	0	4	0	0	0	0	0	0	0	551
OG0000046	5	6	7	7	8	7	8	7	8	5	15	8	8	8	8	7	8	8	8	8	8	8	8	8	5	15	8	7	10	6	6	5	4	7	7	6	6	6	7	6	6	6	10	6	7	7	8	6	6	10	28	7	6	5	6	10	7	7	7	7	6	8	9	11	5	6	6	6	6	6	6	8	542
OG0000047	5	1	0	1	0	0	2	0	0	4	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	1	3	1	0	0	0	0	6	2	9	23	27	3	4	1	1	52	1	23	67	0	8	1	54	2	1	8	4	16	4	4	1	2	14	109	2	1	0	0	0	0	0	0	0	0	5	531
OG0000048	7	5	11	3	7	7	6	4	7	5	4	10	11	9	12	5	7	6	11	8	10	11	10	3	1	7	6	3	7	4	7	4	33	2	6	6	9	8	8	12	8	5	3	5	11	9	9	5	6	14	7	3	11	3	9	7	3	7	7	7	10	11	4	11	7	7	7	7	6	8	7	5	531
OG0000049	5	2	2	2	1	1	1	1	1	4	20	1	1	2	1	1	1	1	1	1	1	1	1	4	0	14	2	2	4	14	6	3	4	2	2	8	2	2	14	2	2	2	18	2	2	2	4	2	28	11	3	2	2	4	2	2	12	29	26	93	15	2	6	14	5	25	21	17	10	5	8	2	516
OG0000050	4	4	8	2	5	5	4	4	4	3	14	7	6	10	7	6	6	7	8	9	8	6	9	8	0	6	10	3	5	7	11	11	9	9	6	10	2	6	7	9	6	9	9	4	8	10	5	3	7	3	17	8	9	3	7	6	6	12	7	8	4	5	12	18	7	6	10	7	9	8	8	5	511
OG0000051	12	3	15	4	7	6	6	7	8	10	10	4	5	4	4	4	4	4	4	4	4	4	4	10	3	13	4	4	12	8	7	6	6	7	5	11	4	7	17	16	6	17	22	4	8	7	7	2	3	11	13	5	5	6	4	4	7	8	5	8	18	4	10	13	6	4	4	4	5	5	5	4	511
OG0000052	16	3	8	16	3	5	4	3	4	11	5	8	9	12	16	7	7	7	10	10	7	12	9	8	0	42	3	5	3	1	1	1	5	2	1	15	1	4	16	9	10	6	19	1	4	11	2	1	3	25	4	1	14	1	7	4	1	5	2	5	19	1	10	0	8	6	5	5	3	5	3	3	503
OG0000053	10	6	4	14	3	3	3	4	2	9	8	3	4	3	4	3	3	4	4	4	3	4	4	16	0	7	6	7	11	4	5	5	18	5	3	8	5	10	14	7	5	5	12	3	12	7	2	2	6	23	40	8	7	7	5	10	5	6	6	5	17	2	13	7	11	4	4	4	6	6	5	4	499
OG0000054	7	7	8	6	7	7	8	7	7	7	6	6	8	7	7	7	7	7	7	7	7	7	7	8	0	8	8	7	4	6	8	8	7	5	7	6	7	7	8	7	7	7	8	6	6	7	9	6	7	8	7	5	7	9	7	8	8	8	6	6	8	6	7	6	7	6	7	7	8	7	7	7	497
OG0000055	6	5	6	6	6	6	6	6	6	6	9	6	6	6	6	6	6	6	6	6	6	6	6	6	1	6	7	7	25	6	6	5	5	6	6	6	8	6	8	12	6	7	6	5	6	6	10	5	8	6	25	6	5	10	8	6	6	6	9	6	6	6	5	9	6	6	6	6	7	7	7	6	495
OG0000056	5	8	5	8	5	5	10	5	5	5	6	7	8	12	5	9	7	8	5	8	8	5	7	5	1	5	5	6	6	10	8	9	4	6	8	14	5	8	5	12	5	5	6	7	5	5	28	9	12	5	4	8	6	10	5	6	5	5	9	6	5	5	7	5	5	5	5	5	9	5	5	5	490
OG0000057	9	7	7	7	7	6	7	7	7	6	7	7	7	7	7	7	8	7	7	7	7	7	6	7	0	7	7	7	5	6	7	6	8	5	7	7	6	7	7	8	7	8	6	6	7	7	7	7	8	8	6	7	7	5	7	7	6	7	8	7	7	7	7	9	7	7	7	7	6	7	7	6	490
OG0000058	11	3	5	6	4	4	5	4	4	10	5	6	10	9	11	7	17	16	11	8	6	10	11	5	1	9	5	5	3	3	3	3	6	5	5	5	4	5	5	7	4	4	11	3	9	5	8	4	13	16	4	4	5	6	9	2	7	18	12	14	20	4	3	4	5	4	4	2	6	4	4	7	487
OG0000059	9	0	5	3	0	0	1	0	0	1	36	0	1	1	0	0	0	0	0	0	0	0	0	0	1	166	1	4	33	1	1	1	0	2	0	4	0	86	4	2	0	1	7	0	6	0	1	3	5	18	0	3	10	0	5	0	0	2	0	0	53	0	0	0	5	0	0	0	0	0	0	0	482
OG0000060	11	7	8	6	5	6	4	5	5	10	13	5	6	5	5	5	5	5	5	5	5	5	5	7	1	6	5	4	19	5	5	5	11	7	5	5	5	5	6	7	5	11	6	5	5	5	6	6	5	15	21	6	4	3	4	7	6	5	6	5	9	6	12	29	9	3	4	3	5	5	5	6	481
OG0000061	12	2	6	1	0	0	0	0	0	3	14	7	2	8	4	2	3	0	1	8	9	0	2	2	0	21	1	2	5	1	0	0	0	4	1	49	3	9	28	5	19	6	25	2	10	2	6	24	2	22	16	1	68	0	9	0	0	2	5	0	31	3	2	4	2	0	0	0	0	1	1	0	478
OG0000062	12	4	5	6	6	6	5	5	6	11	5	6	5	6	6	6	5	5	6	6	6	6	5	7	0	8	8	4	4	6	5	5	6	6	5	4	6	6	6	6	6	6	10	6	6	6	8	7	5	18	5	7	6	6	6	5	5	5	4	5	25	6	10	25	7	6	6	6	5	5	5	7	476
OG0000063	3	4	7	5	9	9	9	9	8	3	16	6	5	7	8	4	4	5	7	4	5	7	6	6	6	4	6	5	8	7	6	5	8	8	8	8	7	4	5	6	5	6	6	9	6	5	10	9	7	5	7	6	8	8	9	8	6	6	7	7	2	8	6	9	7	7	6	7	5	8	8	4	474
OG0000064	9	6	6	7	5	5	6	7	5	9	7	6	8	6	6	7	6	8	5	7	6	5	8	7	4	6	8	5	7	7	6	6	10	5	5	13	4	5	7	5	5	5	9	6	5	5	17	5	7	6	7	5	5	5	6	8	7	6	9	5	7	5	6	9	6	6	5	6	8	5	5	5	466
