label	HOG	foreground_top_k	annotation_set
SC_pos	N13.HOG0008215	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008289	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008305	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008332	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008353	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008395	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008414	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008422	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008434	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008446	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008454	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008484	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008494	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008502	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008511	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008530	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008536	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008614	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008656	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008677	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008679	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008706	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008717	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008718	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008762	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008797	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008808	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008814	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008818	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008828	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008844	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008852	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008882	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008887	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008908	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008957	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008968	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008982	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0008988	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009015	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009102	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009118	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009137	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009172	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009231	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009247	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009256	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009311	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009377	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009399	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009420	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009422	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009472	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009516	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009543	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009571	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009587	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009652	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009663	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009669	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009717	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009810	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009943	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009966	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0009991	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010039	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010084	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010221	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010314	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010325	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010367	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010401	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010550	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010551	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010558	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010674	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010737	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010831	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010849	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0010939	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0011000	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0011003	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0011005	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0011108	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0011149	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0011272	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0011308	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0011999	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0000339	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0000375	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0000692	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0000693	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0000861	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0000862	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0000869	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0000870	300	final_direct_conserved_plus_Dmel_experimental
