HOG	GO.ID	Term	ontology	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment	consensus_gene_name	run	node	biological_label
N0.HOG0000299	GO:0033227	dsRNA transport	BP	2	0.000699837	0.0261	0.02610	1	0.03	33.3333333333333	glutamyl aminopeptidase-like / aminopeptidase A-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000299	GO:0032835	glomerulus development	BP	2	0.000699837	0.0394	0.03940	1	0.04	25	glutamyl aminopeptidase-like / aminopeptidase A-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000299	GO:0070006	metalloaminopeptidase activity	MF	2	0.000699837	0.01655	0.01655	1	0.02	50	glutamyl aminopeptidase-like / aminopeptidase A-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0006723	cuticle hydrocarbon biosynthetic process	BP	2	0.000699837	2.9e-05	2.9e-05	2	0.01	200	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0018904	ether metabolic process	BP	2	0.000699837	0.00168	0.00168	2	0.01	200	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0032100	positive regulation of appetite	BP	2	0.000699837	0.00293	0.00293	1	0	Inf	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:1902321	methyl-branched fatty acid biosynthetic process	BP	2	0.000699837	0.00293	0.00293	1	0	Inf	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0030223	neutrophil differentiation	BP	2	0.000699837	0.00585	0.00585	1	0.01	100	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0008611	ether lipid biosynthetic process	BP	2	0.000699837	0.0078	0.00780	1	0.01	100	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0071329	cellular response to sucrose stimulus	BP	2	0.000699837	0.00877	0.00877	1	0.01	100	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0016125	sterol metabolic process	BP	2	0.000699837	0.00929	0.00929	2	0.1	20	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0090557	establishment of endothelial intestinal barrier	BP	2	0.000699837	0.0107	0.01070	1	0.01	100	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0006089	lactate metabolic process	BP	2	0.000699837	0.01264	0.01264	1	0.01	100	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0030224	monocyte differentiation	BP	2	0.000699837	0.0165	0.01650	1	0.02	50	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:1901568	fatty acid derivative metabolic process	BP	2	0.000699837	0.01842	0.01842	2	0.07	28.5714285714286	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0046949	fatty-acyl-CoA biosynthetic process	BP	2	0.000699837	0.02131	0.02131	1	0.02	50	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0071353	cellular response to interleukin-4	BP	2	0.000699837	0.02131	0.02131	1	0.02	50	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0006084	acetyl-CoA metabolic process	BP	2	0.000699837	0.02419	0.02419	1	0.02	50	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0019432	triglyceride biosynthetic process	BP	2	0.000699837	0.02896	0.02896	1	0.03	33.3333333333333	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0045540	regulation of cholesterol biosynthetic process	BP	2	0.000699837	0.03182	0.03182	1	0.03	33.3333333333333	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0008610	lipid biosynthetic process	BP	2	0.000699837	0.0321	0.03210	3	0.43	6.97674418604651	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0034030	ribonucleoside bisphosphate biosynthetic process	BP	2	0.000699837	0.03846	0.03846	1	0.04	25	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0034033	purine nucleoside bisphosphate biosynthetic process	BP	2	0.000699837	0.03846	0.03846	1	0.04	25	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0042587	glycogen granule	CC	2	0.000699837	0.008	0.00800	1	0.01	100	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0004312	fatty acid synthase activity	MF	2	0.000699837	0.01106	0.01106	1	0.01	100	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0070402	NADPH binding	MF	2	0.000699837	0.01106	0.01106	1	0.01	100	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000639	GO:0050661	NADP binding	MF	2	0.000699837	0.01799	0.01799	2	0.03	66.6666666666667	fatty acid synthase	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000042	GO:2000435	negative regulation of protein neddylation	BP	3	0.00101874	0.0078	0.0078	1	0.01	100	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000042	GO:1904667	negative regulation of ubiquitin protein ligase activity	BP	3	0.00101874	0.0122	0.0122	1	0.01	100	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000042	GO:1902255	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	BP	3	0.00101874	0.0144	0.0144	1	0.01	100	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000042	GO:0000027	ribosomal large subunit assembly	BP	3	0.00101874	0.0352	0.0352	1	0.04	25	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000042	GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	BP	3	0.00101874	0.0363	0.0363	1	0.04	25	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000042	GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane	CC	3	0.00101874	0.0193	0.0193	1	0.02	50	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000042	GO:1990948	ubiquitin ligase inhibitor activity	MF	3	0.00101874	0.0076	0.0076	1	0.01	100	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000042	GO:0042975	peroxisome proliferator activated receptor binding	MF	3	0.00101874	0.0151	0.0151	1	0.02	50	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000042	GO:0008097	5S rRNA binding	MF	3	0.00101874	0.0201	0.0201	1	0.02	50	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000050	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	BP	11	0.000801973	0.0374	0.0374	1	0.04	25	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000050	GO:0032590	dendrite membrane	CC	11	0.000801973	0.0461	0.0461	1	0.05	20	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000050	GO:0004984	olfactory receptor activity	MF	11	0.000801973	0.0288	0.0288	1	0.03	33.3333333333333	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000050	GO:0005549	odorant binding	MF	11	0.000801973	0.0313	0.0313	1	0.03	33.3333333333333	odorant receptor family	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000108	GO:0002803	positive regulation of antibacterial peptide production	BP	8	0.000943866	0.0243	0.0243	1	0.02	50	glutamate receptor ionotropic, delta-1-like / probable glutamate receptor	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000108	GO:0022617	extracellular matrix disassembly	BP	8	0.000943866	0.0363	0.0363	1	0.04	25	glutamate receptor ionotropic, delta-1-like / probable glutamate receptor	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000108	GO:0097209	epidermal lamellar body	CC	8	0.000943866	0.0034	0.0034	1	0	Inf	glutamate receptor ionotropic, delta-1-like / probable glutamate receptor	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0032100	positive regulation of appetite	BP	6	2.43212e-08	0.0033	0.0033	1	0	Inf	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:1902321	methyl-branched fatty acid biosynthetic process	BP	6	2.43212e-08	0.0033	0.0033	1	0	Inf	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0030223	neutrophil differentiation	BP	6	2.43212e-08	0.0067	0.0067	1	0.01	100	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
