annotation_set	foreground_top_k	topGO_algorithm	topGO_statistic	nodeSize	multiple_testing_correction	label	ontology	GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	p	algorithm	Members_n	MembersStr	definition
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	43	11	2.89	3.806228373702422	0.01249	weight01	11	N13.HOG0001944;N13.HOG0002799;N13.HOG0003201;N13.HOG0005732;N13.HOG0005941;N13.HOG0006200;N13.HOG0006201;N13.HOG0007863;N13.HOG0008096;N13.HOG0010427;N13.HOG0010602	Any process that increases the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0002696	positive regulation of leukocyte activation	45	8	3.02	2.6490066225165565	0.01266	weight01	8	N13.HOG0002643;N13.HOG0002644;N13.HOG0004432;N13.HOG0005597;N13.HOG0005722;N13.HOG0005823;N13.HOG0007309;N13.HOG0009195	NA
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0007631	feeding behavior	52	10	3.49	2.8653295128939824	0.01281	weight01	10	N13.HOG0000373;N13.HOG0002200;N13.HOG0002374;N13.HOG0003867;N13.HOG0004432;N13.HOG0004668;N13.HOG0007679;N13.HOG0008028;N13.HOG0008557;N13.HOG0008589	Behavior associated with the intake of food.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0032880	regulation of protein localization	294	45	19.73	2.2807906741003547	0.01284	weight01	45	N13.HOG0002374;N13.HOG0002643;N13.HOG0002644;N13.HOG0004118;N13.HOG0004256;N13.HOG0004432;N13.HOG0004558;N13.HOG0005196;N13.HOG0005256;N13.HOG0005432;N13.HOG0005452;N13.HOG0005569;N13.HOG0005597;N13.HOG0005611;N13.HOG0005941;N13.HOG0006141;N13.HOG0006201;N13.HOG0006237;N13.HOG0006304;N13.HOG0006383;N13.HOG0006522;N13.HOG0006603;N13.HOG0006635;N13.HOG0006689;N13.HOG0007090;N13.HOG0007176;N13.HOG0007178;N13.HOG0007309;N13.HOG0007572;N13.HOG0007699;N13.HOG0008028;N13.HOG0008096;N13.HOG0008253;N13.HOG0008308;N13.HOG0008388;N13.HOG0008418;N13.HOG0008728;N13.HOG0009185;N13.HOG0009195;N13.HOG0009426;N13.HOG0009524;N13.HOG0009717;N13.HOG0009888;N13.HOG0010427;N13.HOG0010567	Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0061062	regulation of nematode larval development	46	9	3.09	2.912621359223301	0.01293	weight01	9	N13.HOG0002513;N13.HOG0002533;N13.HOG0002731;N13.HOG0004256;N13.HOG0004580;N13.HOG0005134;N13.HOG0006689;N13.HOG0006803;N13.HOG0010427	Any process that modulates the rate, frequency, or extent of nematode larval development, the process whose specific outcome is the progression of the nematode larva over time, from its formation to the mature structure. Nematode larval development begins with the newly hatched first-stage larva (L1) and ends with the end of the last larval stage (for example the fourth larval stage (L4) in C. elegans). Each stage of nematode larval development is characterized by proliferation of specific cell lineages and an increase in body size without alteration of the basic body plan. Nematode larval stages are separated by molts in which each stage-specific exoskeleton, or cuticle, is shed and replaced anew.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0006952	defense response	362	37	24.3	1.522633744855967	0.01304	weight01	37	N13.HOG0000931;N13.HOG0001944;N13.HOG0002051;N13.HOG0002374;N13.HOG0002492;N13.HOG0002643;N13.HOG0002644;N13.HOG0004118;N13.HOG0004252;N13.HOG0004580;N13.HOG0005038;N13.HOG0005134;N13.HOG0005532;N13.HOG0005597;N13.HOG0005713;N13.HOG0005722;N13.HOG0005941;N13.HOG0006141;N13.HOG0006201;N13.HOG0006216;N13.HOG0006522;N13.HOG0006667;N13.HOG0006672;N13.HOG0006822;N13.HOG0006894;N13.HOG0006939;N13.HOG0007104;N13.HOG0007309;N13.HOG0007368;N13.HOG0007679;N13.HOG0008032;N13.HOG0008409;N13.HOG0008518;N13.HOG0009195;N13.HOG0009321;N13.HOG0009524;N13.HOG0011688	Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0042733	embryonic digit morphogenesis	22	5	1.48	3.3783783783783785	0.01341	weight01	5	N13.HOG0004652;N13.HOG0004716;N13.HOG0005196;N13.HOG0005597;N13.HOG0006803	The process, occurring in the embryo, by which the anatomical structures of the digit are generated and organized. A digit is one of the terminal divisions of an appendage, such as a finger or toe.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0045886	negative regulation of synaptic assembly at neuromuscular junction	22	5	1.48	3.3783783783783785	0.01341	weight01	5	N13.HOG0002492;N13.HOG0006141;N13.HOG0006585;N13.HOG0007368;N13.HOG0008557	Any process that stops, prevents, or reduces the frequency, rate or extent of synaptic assembly at neuromuscular junction.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0060395	SMAD protein signal transduction	22	5	1.48	3.3783783783783785	0.01341	weight01	5	N13.HOG0001944;N13.HOG0004652;N13.HOG0005941;N13.HOG0006201;N13.HOG0008757	An intracellular signaling cassette that starts with the activation of a SMAD protein, leading to the formation of a complex with co-SMADs, which translocates to the nucleus and regulates transcription of specific target genes.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0042461	photoreceptor cell development	84	16	5.64	2.8368794326241136	0.01361	weight01	16	N13.HOG0002158;N13.HOG0003398;N13.HOG0003867;N13.HOG0004252;N13.HOG0004978;N13.HOG0005004;N13.HOG0005125;N13.HOG0005723;N13.HOG0006830;N13.HOG0006857;N13.HOG0006948;N13.HOG0007309;N13.HOG0008308;N13.HOG0008388;N13.HOG0008565;N13.HOG0009185	Development of a photoreceptor, a cell that responds to incident electromagnetic radiation, particularly visible light.
