GO.ID	Term	ontology	HOG	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment
GO:0008610	lipid biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	2	0.473372781065089	4.225
GO:0008610	lipid biosynthetic process	BP	N0.HOG0000162	2	0.00695568	1	1	2	0.473372781065089	4.225
GO:0009056	catabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	2	1.69445938676708	1.18031746031746
GO:0009056	catabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	2	1.69445938676708	1.18031746031746
GO:0009057	macromolecule catabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	2	1.03604088219473	1.93042575285566
GO:0009057	macromolecule catabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	2	1.03604088219473	1.93042575285566
GO:0009058	biosynthetic process	BP	N0.HOG0000042	3	0.00101874	1	1	7	4.35610543302851	1.60693998518153
GO:0009058	biosynthetic process	BP	N0.HOG0000108	8	0.000943866	1	1	7	4.35610543302851	1.60693998518153
GO:0009058	biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	7	4.35610543302851	1.60693998518153
GO:0009058	biosynthetic process	BP	N0.HOG0000155	2	0.00304223	1	1	7	4.35610543302851	1.60693998518153
GO:0009058	biosynthetic process	BP	N0.HOG0000162	2	0.00695568	1	1	7	4.35610543302851	1.60693998518153
GO:0009058	biosynthetic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	7	4.35610543302851	1.60693998518153
GO:0009058	biosynthetic process	BP	N0.HOG0000814	2	0.00304223	1	1	7	4.35610543302851	1.60693998518153
GO:0009059	macromolecule biosynthetic process	BP	N0.HOG0000042	3	0.00101874	1	1	4	3.75040344271114	1.06655192197361
GO:0009059	macromolecule biosynthetic process	BP	N0.HOG0000108	8	0.000943866	1	1	4	3.75040344271114	1.06655192197361
GO:0009059	macromolecule biosynthetic process	BP	N0.HOG0000155	2	0.00304223	1	1	4	3.75040344271114	1.06655192197361
GO:0009059	macromolecule biosynthetic process	BP	N0.HOG0000814	2	0.00304223	1	1	4	3.75040344271114	1.06655192197361
GO:0009064	glutamine family amino acid metabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	1	0.0602474448628295	16.5982142857143
GO:0009117	nucleotide metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.490586336740183	2.03837719298246
GO:0009150	purine ribonucleotide metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.387305002689618	2.58194444444445
