species	term	gene
pd	map04152	LOC107063935
pd	map04211	LOC107063935
pd	map04218	LOC107063935
pd	map04714	LOC107063935
pd	map04910	LOC107063935
pd	map04919	LOC107063935
pd	map05165	LOC107063935
pd	map05231	LOC107063935
pd	map04015	LOC107063936
pd	map04022	LOC107063936
pd	map04024	LOC107063936
pd	map04062	LOC107063936
pd	map04071	LOC107063936
pd	map04261	LOC107063936
pd	map04360	LOC107063936
pd	map04371	LOC107063936
pd	map04540	LOC107063936
pd	map04611	LOC107063936
pd	map04670	LOC107063936
pd	map04713	LOC107063936
pd	map04723	LOC107063936
pd	map04724	LOC107063936
pd	map04725	LOC107063936
pd	map04726	LOC107063936
pd	map04727	LOC107063936
pd	map04728	LOC107063936
pd	map04730	LOC107063936
pd	map04914	LOC107063936
pd	map04915	LOC107063936
pd	map04916	LOC107063936
pd	map04921	LOC107063936
pd	map04923	LOC107063936
pd	map04924	LOC107063936
pd	map04926	LOC107063936
pd	map04934	LOC107063936
pd	map04971	LOC107063936
pd	map05012	LOC107063936
pd	map05030	LOC107063936
pd	map05032	LOC107063936
pd	map05034	LOC107063936
pd	map05133	LOC107063936
pd	map05142	LOC107063936
pd	map05145	LOC107063936
pd	map05200	LOC107063936
pd	map00230	LOC107063937
pd	map00240	LOC107063937
pd	map01100	LOC107063937
pd	map03020	LOC107063937
pd	map04623	LOC107063937
pd	map05169	LOC107063937
pd	map00562	LOC107063938
pd	map01100	LOC107063938
pd	map04070	LOC107063938
pd	map01040	LOC107063940
pd	map01212	LOC107063940
pd	map03320	LOC107063940
pd	map04152	LOC107063940
pd	map04212	LOC107063940
pd	map01040	LOC107063941
pd	map01212	LOC107063941
pd	map03320	LOC107063941
pd	map04152	LOC107063941
pd	map04212	LOC107063941
pd	map05200	LOC107063945
pd	map05223	LOC107063945
pd	map04142	LOC107063947
pd	map04979	LOC107063947
pd	map04530	LOC107063949
pd	map04140	LOC107063950
pd	map04550	LOC107063953
pd	map04550	LOC107063954
pd	map05165	LOC107063961
pd	map04510	LOC107063963
pd	map05166	LOC107063965
pd	map03440	LOC107063966
pd	map03460	LOC107063966
pd	map05200	LOC107063966
pd	map05212	LOC107063966
pd	map04550	LOC107063970
pd	map04950	LOC107063970
pd	map03008	LOC107063971
pd	map00563	LOC107063972
pd	map01100	LOC107063972
pd	map00020	LOC107063973
pd	map00480	LOC107063973
pd	map00720	LOC107063973
pd	map01100	LOC107063973
pd	map01110	LOC107063973
pd	map01120	LOC107063973
pd	map01130	LOC107063973
pd	map01200	LOC107063973
pd	map01210	LOC107063973
pd	map01230	LOC107063973
pd	map04146	LOC107063973
pd	map00190	LOC107063974
pd	map00860	LOC107063974
pd	map01100	LOC107063974
pd	map01110	LOC107063974
pd	map04714	LOC107063974
pd	map04218	LOC107063978
pd	map05166	LOC107063978
pd	map05167	LOC107063978
pd	map00230	LOC107063980
pd	map04310	LOC107063986
pd	map00230	LOC107063987
pd	map00240	LOC107063987
pd	map01100	LOC107063987
pd	map03030	LOC107063987
pd	map04550	LOC107063989
pd	map00534	LOC107063990
pd	map04360	LOC107063991
pd	map01040	LOC107063999
pd	map01212	LOC107063999
pd	map03320	LOC107063999
pd	map04152	LOC107063999
pd	map04212	LOC107063999
pd	map04110	LOC107064001
pd	map04111	LOC107064001
pd	map04113	LOC107064001
pd	map04114	LOC107064001
pd	map04120	LOC107064002
pd	map03008	LOC107064004
pd	map03013	LOC107064004
pd	map01521	LOC107064007
pd	map03013	LOC107064007
pd	map04066	LOC107064007
pd	map04150	LOC107064007
pd	map04151	LOC107064007
pd	map04211	LOC107064007
pd	map04910	LOC107064007
pd	map03015	LOC107064009
pd	map00280	LOC107064010
pd	map00410	LOC107064010
pd	map00562	LOC107064010
pd	map00640	LOC107064010
pd	map01100	LOC107064010
pd	map01200	LOC107064010
pd	map03010	LOC107064012
pd	map03010	LOC107064015
pd	map03010	LOC107064016
pd	map00260	LOC107064018
pd	map00680	LOC107064018
pd	map01100	LOC107064018
pd	map01120	LOC107064018
pd	map01130	LOC107064018
pd	map01200	LOC107064018
pd	map01230	LOC107064018
pd	map00230	LOC107064030
pd	map04111	LOC107064039
pd	map04145	LOC107064042
pd	map04540	LOC107064042
pd	map05130	LOC107064042
pd	map04142	LOC107064045
pd	map00900	LOC107064054
pd	map00981	LOC107064054
pd	map01130	LOC107064054
pd	map00190	LOC107064055
pd	map01100	LOC107064055
pd	map04142	LOC107064055
pd	map04145	LOC107064055
pd	map04721	LOC107064055
pd	map04966	LOC107064055
pd	map05110	LOC107064055
pd	map05120	LOC107064055
pd	map05152	LOC107064055
pd	map05165	LOC107064055
pd	map05323	LOC107064055
pd	map04614	LOC107064057
pd	map00564	LOC107064058
pd	map01110	LOC107064058
pd	map04011	LOC107064058
pd	map03022	LOC107064060
pd	map00564	LOC107064061
pd	map01110	LOC107064061
pd	map04011	LOC107064061
pd	map00940	LOC107064062
pd	map01100	LOC107064062
pd	map01110	LOC107064062
pd	map04918	LOC107064066
pd	map04978	LOC107064066
pd	map00564	LOC107064067
pd	map04725	LOC107064067
pd	map00310	LOC107064070
pd	map00190	LOC107064073
pd	map01100	LOC107064073
pd	map04714	LOC107064073
pd	map04723	LOC107064073
pd	map04932	LOC107064073
pd	map05010	LOC107064073
pd	map05012	LOC107064073
pd	map05016	LOC107064073
pd	map00230	LOC107064074
pd	map04022	LOC107064074
pd	map04024	LOC107064074
pd	map04270	LOC107064074
pd	map04714	LOC107064074
pd	map04921	LOC107064074
pd	map04923	LOC107064074
pd	map04924	LOC107064074
pd	map04925	LOC107064074
pd	map04360	LOC107064076
pd	map04514	LOC107064076
pd	map04614	LOC107064077
pd	map00785	LOC107064079
pd	map01100	LOC107064079
pd	map01522	LOC107064082
pd	map04012	LOC107064082
pd	map04020	LOC107064082
pd	map04062	LOC107064082
pd	map04072	LOC107064082
pd	map04151	LOC107064082
pd	map04360	LOC107064082
pd	map04370	LOC107064082
pd	map04510	LOC107064082
pd	map04650	LOC107064082
pd	map04670	LOC107064082
pd	map04810	LOC107064082
pd	map04912	LOC107064082
pd	map05100	LOC107064082
pd	map05146	LOC107064082
pd	map05161	LOC107064082
pd	map05165	LOC107064082
pd	map05200	LOC107064082
pd	map05202	LOC107064082
pd	map05205	LOC107064082
pd	map05222	LOC107064082
pd	map05418	LOC107064082
pd	map04020	LOC107064085
pd	map04022	LOC107064085
pd	map04371	LOC107064085
pd	map04740	LOC107064085
pd	map04974	LOC107064085
pd	map00230	LOC107064086
pd	map00240	LOC107064086
pd	map03018	LOC107064086
pd	map04714	LOC107064087
pd	map00564	LOC107064088
pd	map01100	LOC107064088
pd	map04015	LOC107064089
pd	map03040	LOC107064091
pd	map05231	LOC107064094
pd	map04145	LOC107064095
pd	map04540	LOC107064095
pd	map05130	LOC107064095
pd	map04145	LOC107064096
pd	map04540	LOC107064096
pd	map05130	LOC107064096
pd	map04014	LOC107064097
pd	map04015	LOC107064097
