term	gene
map04145	N13.HOG0001400
map04210	N13.HOG0001400
map04530	N13.HOG0001400
map04540	N13.HOG0001400
map05130	N13.HOG0001400
map04142	N13.HOG0001402
map05205	N13.HOG0001402
map04142	N13.HOG0001404
map05202	N13.HOG0001404
map05205	N13.HOG0001404
map04142	N13.HOG0001405
map05205	N13.HOG0001405
map00521	N13.HOG0001430
map00562	N13.HOG0001430
map01100	N13.HOG0001430
map04070	N13.HOG0001430
map00521	N13.HOG0001431
map00562	N13.HOG0001431
map01100	N13.HOG0001431
map04070	N13.HOG0001431
map00521	N13.HOG0001434
map00562	N13.HOG0001434
map01100	N13.HOG0001434
map04070	N13.HOG0001434
map04015	N13.HOG0001450
map04145	N13.HOG0001450
map04210	N13.HOG0001450
map04390	N13.HOG0001450
map04391	N13.HOG0001450
map04510	N13.HOG0001450
map04520	N13.HOG0001450
map04530	N13.HOG0001450
map04611	N13.HOG0001450
map04670	N13.HOG0001450
map04714	N13.HOG0001450
map04745	N13.HOG0001450
map04810	N13.HOG0001450
map04919	N13.HOG0001450
map04921	N13.HOG0001450
map05100	N13.HOG0001450
map05110	N13.HOG0001450
map05130	N13.HOG0001450
map05131	N13.HOG0001450
map05132	N13.HOG0001450
map05164	N13.HOG0001450
map05205	N13.HOG0001450
map05225	N13.HOG0001450
map05410	N13.HOG0001450
map05412	N13.HOG0001450
map05414	N13.HOG0001450
map05416	N13.HOG0001450
map05418	N13.HOG0001450
map00480	N13.HOG0001459
map00590	N13.HOG0001459
map00980	N13.HOG0001459
map00982	N13.HOG0001459
map00983	N13.HOG0001459
map01100	N13.HOG0001459
map01524	N13.HOG0001459
map05200	N13.HOG0001459
map05204	N13.HOG0001459
map05225	N13.HOG0001459
map05418	N13.HOG0001459
map04658	N13.HOG0001465
map04013	N13.HOG0001468
map04530	N13.HOG0001469
map04658	N13.HOG0001469
map04659	N13.HOG0001469
map05200	N13.HOG0001469
map05202	N13.HOG0001469
map05220	N13.HOG0001469
map05221	N13.HOG0001469
map00040	N13.HOG0001506
map00053	N13.HOG0001506
map00140	N13.HOG0001506
map00830	N13.HOG0001506
map00860	N13.HOG0001506
map00980	N13.HOG0001506
map00982	N13.HOG0001506
map00983	N13.HOG0001506
map01100	N13.HOG0001506
map01110	N13.HOG0001506
map05204	N13.HOG0001506
map00072	N13.HOG0001518
map00650	N13.HOG0001518
map01100	N13.HOG0001518
map00531	N13.HOG0001528
map01100	N13.HOG0001528
map04142	N13.HOG0001528
map00531	N13.HOG0001529
map01100	N13.HOG0001529
map04142	N13.HOG0001529
map00531	N13.HOG0001530
map01100	N13.HOG0001530
map04142	N13.HOG0001530
map00531	N13.HOG0001531
map01100	N13.HOG0001531
map04142	N13.HOG0001531
map04010	N13.HOG0001538
map04062	N13.HOG0001538
map04144	N13.HOG0001538
map04340	N13.HOG0001538
map04740	N13.HOG0001538
map04926	N13.HOG0001538
map05032	N13.HOG0001538
map04010	N13.HOG0001539
map04062	N13.HOG0001539
map04144	N13.HOG0001539
map04340	N13.HOG0001539
map04740	N13.HOG0001539
map04926	N13.HOG0001539
map05032	N13.HOG0001539
map04745	N13.HOG0001541
map04260	N13.HOG0001548
map04261	N13.HOG0001548
map05200	N13.HOG0001548
map05206	N13.HOG0001548
map05216	N13.HOG0001548
map05410	N13.HOG0001548
map05414	N13.HOG0001548
map04260	N13.HOG0001550
map04261	N13.HOG0001550
map05200	N13.HOG0001550
map05206	N13.HOG0001550
map05216	N13.HOG0001550
map05410	N13.HOG0001550
map05414	N13.HOG0001550
map04260	N13.HOG0001551
map04261	N13.HOG0001551
map05200	N13.HOG0001551
map05206	N13.HOG0001551
map05216	N13.HOG0001551
map05410	N13.HOG0001551
map05414	N13.HOG0001551
map04260	N13.HOG0001553
map04261	N13.HOG0001553
map05200	N13.HOG0001553
