XM_015335593.1	LOC107074287	LOC107074287
XM_015335583.1	LOC107074287	LOC107074287
XM_015335603.1	LOC107074287	LOC107074287
XM_015335572.1	LOC107074287	LOC107074287
XM_015335615.1	LOC107074301	LOC107074301
XM_015335657.1	LOC107074316	LOC107074316
XR_001476873.1	LOC107074305	LOC107074305
XM_015335629.1	LOC107074305	LOC107074305
XM_015335637.1	LOC107074305	LOC107074305
XM_015335669.1	LOC107074323	LOC107074323
XM_015335678.1	LOC107074323	LOC107074323
XR_001476875.1	LOC107074337	LOC107074337
XM_015335694.1	LOC107074337	LOC107074337
XM_015317322.1	LOC107064541	LOC107064541
XM_015317331.1	LOC107064541	LOC107064541
XM_015317341.1	LOC107064541	LOC107064541
XM_015336023.1	LOC107074513	LOC107074513
XM_015336032.1	LOC107074513	LOC107074513
XM_015336010.1	LOC107074505	LOC107074505
XM_015335907.1	LOC107074444	LOC107074444
XM_015335898.1	LOC107074444	LOC107074444
XM_015335916.1	LOC107074444	LOC107074444
XM_015335889.1	LOC107074444	LOC107074444
XM_015335924.1	LOC107074444	LOC107074444
XM_015335989.1	LOC107074465	LOC107074465
XM_015335981.1	LOC107074465	LOC107074465
XM_015335998.1	LOC107074465	LOC107074465
XM_015335939.1	LOC107074465	LOC107074465
XM_015335971.1	LOC107074465	LOC107074465
XM_015335947.1	LOC107074465	LOC107074465
XM_015335955.1	LOC107074465	LOC107074465
XM_015335964.1	LOC107074465	LOC107074465
XM_015318979.1	LOC107065357	LOC107065357
XM_015323584.1	LOC107067559	LOC107067559
XM_015316073.1	LOC107063891	LOC107063891
XM_015316048.1	LOC107063891	LOC107063891
XM_015316039.1	LOC107063891	LOC107063891
XM_015316056.1	LOC107063891	LOC107063891
XM_015316065.1	LOC107063891	LOC107063891
XR_001475434.1	LOC107064025	LOC107064025
XR_001475435.1	LOC107064032	LOC107064032
XM_015316269.1	LOC107064012	LOC107064012
XM_015316260.1	LOC107064012	LOC107064012
XM_015316217.1	LOC107063990	LOC107063990
XM_015316226.1	LOC107063990	LOC107063990
XM_015316235.1	LOC107063990	LOC107063990
XM_015316248.1	LOC107064005	LOC107064005
XM_015315610.1	LOC107063664	LOC107063664
XM_015315600.1	LOC107063664	LOC107063664
XM_015315621.1	LOC107063664	LOC107063664
XM_015324857.1	LOC107068229	LOC107068229
XM_015318991.1	LOC107065367	LOC107065367
XM_015318587.1	LOC107065150	LOC107065150
XM_015317832.1	LOC107064766	LOC107064766
XM_015326112.1	LOC107068875	LOC107068875
XM_015318810.1	LOC107065276	LOC107065276
XM_015318797.1	LOC107065267	LOC107065267
XM_015327348.1	LOC107069540	LOC107069540
XM_015318487.1	LOC107065115	LOC107065115
XM_015319031.1	LOC107065366	LOC107065366
XM_015317308.1	LOC107064519	LOC107064519
XM_015316096.1	LOC107063925	LOC107063925
XM_015316195.1	LOC107063977	LOC107063977
XM_015316184.1	LOC107063969	LOC107063969
XR_001475432.1	LOC107063988	LOC107063988
XM_015316126.1	LOC107063933	LOC107063933
XM_015316171.1	LOC107063933	LOC107063933
XM_015316143.1	LOC107063933	LOC107063933
XM_015316109.1	LOC107063933	LOC107063933
XM_015316162.1	LOC107063933	LOC107063933
XM_015316153.1	LOC107063933	LOC107063933
XM_015316118.1	LOC107063933	LOC107063933
XM_015316134.1	LOC107063933	LOC107063933
XM_015316456.1	LOC107064113	LOC107064113
XM_015316449.1	LOC107064113	LOC107064113
XM_015316439.1	LOC107064102	LOC107064102
XM_015316429.1	LOC107064102	LOC107064102
XM_015316404.1	LOC107064089	LOC107064089
XM_015316385.1	LOC107064089	LOC107064089
XM_015316393.1	LOC107064089	LOC107064089
XM_015316415.1	LOC107064089	LOC107064089
XM_015318208.1	LOC107064975	LOC107064975
XM_015318196.1	LOC107064969	LOC107064969
XM_015318313.1	LOC107065030	LOC107065030
XM_015316781.1	LOC107064278	LOC107064278
XM_015319127.1	LOC107065436	LOC107065436
XM_015319140.1	LOC107065445	LOC107065445
XM_015318636.1	LOC107065185	LOC107065185
XM_015318650.1	LOC107065185	LOC107065185
XM_015318658.1	LOC107065185	LOC107065185
XM_015318643.1	LOC107065185	LOC107065185
XM_015316469.1	LOC107064123	LOC107064123
XM_015316481.1	LOC107064130	LOC107064130
XM_015319227.1	LOC107065489	LOC107065489
XM_015317440.1	LOC107064580	LOC107064580
XM_015318542.1	LOC107065137	LOC107065137
XM_015318556.1	LOC107065142	LOC107065142
XM_015318053.1	LOC107064882	LOC107064882
XM_015318062.1	LOC107064882	LOC107064882
XM_015318072.1	LOC107064882	LOC107064882
XM_015318081.1	LOC107064882	LOC107064882
XM_015318728.1	LOC107065228	LOC107065228
XM_015318720.1	LOC107065228	LOC107065228
XM_015318738.1	LOC107065235	LOC107065235
XM_015318428.1	LOC107065069	LOC107065069
Trnap-cgg	Trnap-cgg	Trnap-cgg
XM_015319207.1	LOC107065472	LOC107065472
XM_015319197.1	LOC107065472	LOC107065472
XR_001475608.1	LOC107065485	LOC107065485
XM_015318914.1	LOC107065314	LOC107065314
XM_015318906.1	LOC107065314	LOC107065314
XM_015318965.1	LOC107065331	LOC107065331
XM_015318934.1	LOC107065331	LOC107065331
XM_015318925.1	LOC107065331	LOC107065331
