Node	HOG	change	pvalue	direction	significant
Dolichovespula_sylvestris	N0.HOG0000003	-4	0.0173103	contraction	TRUE
Dolichovespula_sylvestris	N0.HOG0000158	-3	0.0330779	contraction	TRUE
Dolichovespula_sylvestris	N0.HOG0000056	-3	0.0336709	contraction	TRUE
Dolichovespula_sylvestris	N0.HOG0000050	-5	0.0363122	contraction	TRUE
Dolichovespula_sylvestris	N0.HOG0000128	3	0.0364644	expansion	TRUE
Dolichovespula_sylvestris	N0.HOG0000009	1	0.221235	expansion	FALSE
Dolichovespula_sylvestris	N0.HOG0000108	2	0.237497	expansion	FALSE
Mischocyttarus_mexicanus	N0.HOG0000291	-1		contraction	FALSE
Mischocyttarus_mexicanus	N0.HOG0000047	50	3.33818e-22	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000128	37	3.01841e-16	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000118	25	1.73035e-12	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000307	19	8.66038e-11	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000032	24	2.56347e-05	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000022	15	7.64676e-05	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000002	9	0.00191703	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000951	9	0.00326416	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000108	6	0.0135492	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000017	-5	0.0226138	contraction	TRUE
Mischocyttarus_mexicanus	N0.HOG0000038	5	0.0364005	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000041	5	0.0364005	expansion	TRUE
Mischocyttarus_mexicanus	N0.HOG0000122	-3	0.0606701	contraction	FALSE
Mischocyttarus_mexicanus	N0.HOG0000096	5	0.0640766	expansion	FALSE
Mischocyttarus_mexicanus	N0.HOG0002570	3	0.10484	expansion	FALSE
Mischocyttarus_mexicanus	N0.HOG0000158	5	0.109682	expansion	FALSE
Mischocyttarus_mexicanus	N0.HOG0000009	-3	0.145737	contraction	FALSE
Mischocyttarus_mexicanus	N0.HOG0000105	3	0.173402	expansion	FALSE
Mischocyttarus_mexicanus	N0.HOG0000003	-4	0.239027	contraction	FALSE
Mischocyttarus_mexicanus	N0.HOG0000056	-4	0.239027	contraction	FALSE
Mischocyttarus_mexicanus	N0.HOG0000101	4	0.2886	expansion	FALSE
Mischocyttarus_mexicanus	N0.HOG0000001	-2	0.391332	contraction	FALSE
Mischocyttarus_mexicanus	N0.HOG0000060	-3	0.403587	contraction	FALSE
Mischocyttarus_mexicanus	N0.HOG0000050	-2	0.511623	contraction	FALSE
Mischocyttarus_mexicanus	N0.HOG0000004	-2	0.713375	contraction	FALSE
Mischocyttarus_mexicanus	N0.HOG0000018	-1	0.911	contraction	FALSE
Polistes_canadensis	N0.HOG0000291	-1		contraction	FALSE
Polistes_canadensis	N0.HOG0000101	-13	1.73846e-09	contraction	TRUE
Polistes_canadensis	N0.HOG0000158	-9	1.78955e-08	contraction	TRUE
Polistes_canadensis	N0.HOG0000022	-8	8.64442e-08	contraction	TRUE
Polistes_canadensis	N0.HOG0000041	-9	1.56665e-07	contraction	TRUE
Polistes_canadensis	N0.HOG0000032	-14	2.27465e-07	contraction	TRUE
Polistes_canadensis	N0.HOG0000047	-6	1.33788e-06	contraction	TRUE
Polistes_canadensis	N0.HOG0000002	-6	1.68258e-05	contraction	TRUE
Polistes_canadensis	N0.HOG0000018	-6	1.68258e-05	contraction	TRUE
Polistes_canadensis	N0.HOG0000951	-7	2.34185e-05	contraction	TRUE
Polistes_canadensis	N0.HOG0000128	-4	3.98773e-05	contraction	TRUE
Polistes_canadensis	N0.HOG0002570	-5	4.8645e-05	contraction	TRUE
