tx	gene_id	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
XM_051013955.1	LOC127072995	0	0.87484	0	0.320604	0	0.430891	0.76029	2.117324	1.569921	2.478436	0	0	0	0.220546	0.489632	1.511349	0.54372	2.513742	3.099569	0	1.870195	0.512719	0.208259	0.185597	0	0.605711	1.544406	1.099681	2.567552	4.36041	2.63425	0	1.755782	0.225781	0	0	0.154717	0	0.90525	0	0	1.705491	2.535247	0	0.89178	0.754151	0.89112	0.39227	0.6615	0.103471	0.950881	0.550499	1.876274	1.187809	1.190409	0	0.296911	1.673487	0.087417	0.482668	0.108748	0.427264	0	0.399656	2.210081	4.622079
XM_051013954.1	LOC127072995	4.1767	3.306767	3.552493	3.569831	4.835476	3.505488	9.780098	9.14227	13.451042	13.216855	2.974233	3.961502	2.270427	2.361414	3.763068	11.609966	11.062094	8.921538	7.866734	3.564977	1.584591	2.638518	3.151726	1.808956	2.847211	3.088881	4.670043	5.878053	10.227695	16.031255	8.969483	2.447312	1.164341	1.027676	2.080707	1.529556	2.877161	2.823852	2.059518	4.168895	3.441351	14.174463	9.453364	4.452576	3.377951	3.173138	2.737684	2.555104	2.617919	3.568415	4.482931	5.039519	17.292009	18.034862	2.367758	3.682563	2.789867	3.749237	2.88094	2.616135	2.677322	2.86681	4.062295	3.545122	18.398329	17.583887
XM_051013953.1	LOC127072994	3.578452	2.630017	6.733345	18.485906	5.356671	5.689733	11.118749	12.31142	69.256693	71.959954	5.604114	3.681153	3.961046	3.716943	4.296354	13.98152	11.078902	31.000147	35.116816	1.329412	1.747121	9.449604	2.981436	3.266172	7.123756	3.501935	3.848768	9.505993	12.374525	75.627769	36.861207	0.498535	8.053413	1.459384	4.660112	1.88074	9.474065	3.156735	2.606435	5.357329	2.466364	99.596136	43.886257	5.223358	2.217129	28.776967	3.646101	3.29225	6.954795	5.743948	7.804788	3.470443	89.130083	67.859703	13.104264	12.715664	10.638958	51.245027	4.412221	10.281508	3.312934	4.504769	5.357498	7.59769	103.647914	118.246998
XM_051013978.1	LOC127073006	0.471642	0.483241	0.28504	0.323229	0.396725	0.640412	0.517497	1.220288	9.335418	6.666343	0.134187	0.148039	0.065634	0.097523	0.338875	0.36451	0.124735	2.816675	4.594675	0.184623	0.325732	0.167663	0.412551	0	0.197479	0.265612	0.409722	0.293432	0.326588	2.289134	1.998019	0	0.241548	0.034262	0.073409	0.26326	0.074165	0.369272	0.243487	0.439289	0.235332	5.550804	2.531565	0.208507	0.070789	0.107128	0.129907	0.239285	0.18167	0.378979	0.237466	0.375745	3.25483	2.752493	0.139008	0.175415	0.102096	0.119953	0.194993	0.080762	0.26009	0.766314	0.176732	0.2662	3.345025	3.145184
XM_051013975.1	LOC127073004	0.18353	0	0.099633	0	0.812667	1.938149	3.197184	4.740549	2.667852	2.84072	0.031292	0	0.091654	0	2.569796	3.466594	2.849144	3.629631	7.563651	0	0.067559	0.093744	0.064053	1.794385	0	1.690586	3.245466	8.753842	1.155084	0.780295	0.764769	0	0	0.063933	0.034211	0.030686	0.069069	0.38267	0.408468	0.563251	0.65882	29.829609	0.575118	0	0	0	0	0.318811	0.643654	0.35254	0.496915	0.291804	0.772032	0.628461	0.032369	0.032686	0.063347	0.074422	1.161504	1.764992	0.435458	0.579544	1.591973	1.586794	0.913706	0.563505
XM_051013917.1	LOC127072985	5.323519	2.406953	2.701083	1.775551	2.81197	3.149762	4.766942	4.699888	7.34889	7.169868	1.350719	2.580457	0.748182	1.039062	2.636735	6.702811	5.698746	8.972251	8.676414	2.148108	1.550158	0.832181	1.133012	1.055967	0.854743	2.360196	4.523998	4.777648	4.371979	9.936297	5.774513	3.014353	1.981452	2.451391	1.4378	1.425208	2.312669	2.222879	2.205013	3.329554	24.484396	8.203535	6.505176	2.326523	3.127141	1.640611	1.221303	1.736378	2.606932	2.847506	3.079517	3.359969	8.112969	7.662307	1.09403	1.090838	1.023614	2.165727	1.644043	1.729417	1.990298	1.975958	2.229968	1.876992	10.503519	10.248652
XM_051013981.1	LOC127073008	10.920524	9.050593	9.72552	6.899845	6.618104	6.411628	6.061177	7.93032	15.125376	15.810257	12.197885	13.137929	6.251151	7.507431	8.143619	8.574518	9.174891	16.132287	15.306122	9.404657	7.576832	6.175332	10.005886	4.252993	4.939527	5.122942	7.578454	6.789476	11.628691	13.730676	11.731615	11.896657	7.524694	7.517922	8.77491	7.137625	8.279884	7.820234	6.701217	9.271872	9.756874	12.795806	13.344887	9.983103	10.606996	6.663221	9.326373	4.786092	7.315728	8.63842	8.109116	14.190218	9.879691	12.068485	9.787945	10.476625	7.550575	8.23484	8.154763	7.424945	7.299794	7.857835	8.461267	9.754813	16.788515	13.868637
XM_051013958.1	LOC127072997	5.13444	3.646848	5.209836	7.692857	12.105006	10.310945	21.242568	23.952411	23.371272	25.568235	6.901014	5.164917	6.707597	8.740389	11.478568	24.648839	20.409108	16.270748	18.348029	5.337033	5.076731	7.602805	6.792913	5.437657	7.285447	9.003197	12.490728	14.983233	26.381801	36.664799	19.286411	2.793883	3.263221	3.993399	4.583613	4.50647	7.906971	9.308056	9.634579	14.021641	13.187148	15.217885	17.499582	4.420029	5.012152	10.848021	9.523983	9.502258	11.10381	15.233366	17.518813	17.966629	43.249822	39.920054	7.467318	6.130534	12.41733	11.859689	10.612319	11.267281	11.884642	12.865934	20.344969	22.127733	22.62406	30.250205
XM_051013929.1	LOC127072988	0	0.079878	0	0	0	0.633166	0.547426	0.454609	0	1.630084	0	0	0.122564	0	0.064768	0	0	0	0	0.086449	0	0.099396	0.218724	0	0	0.1762	0	0.419483	0	0.445171	0.174121	0.119176	0	0	0	0.15982	0.111597	0	0	0	0.313617	0	0.424803	0	0	0.21496	0	0	0	0	0	0	0.684386	0	0.180658	0	0	0.151496	0.354516	0	0.214364	0	0.210849	0.266968	0	0
XM_051013930.1	LOC127072988	0.261058	0.253625	0.058285	0.173085	0.800749	0	0.42192	0	0	0	0.095969	0.096274	0	0.078068	0.284453	0.9801	0.778113	0.915488	0	0	0	0	0	0.158599	0.224509	0	0.376971	0	1.387997	1.122197	0.501405	0	0.123596	0.058678	0	0	0	0	0	0.448673	0	1.050565	1.076474	0	0.185154	0	0.099317	0.161156	0	0.219559	0	0.393052	0	0	0	0	0.164191	0.305615	0	0.23054	0	0.264878	0.127052	0	0	1.892604
